"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Switzerland","CHE","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2150001525879","28.0370006561279","27.2430000305176","27.3689994812012","28.3959999084473","26.4810009002686","25.3939990997314","25.1499996185303","24.6849994659424","25.0009994506836","24.451000213623","23.4069995880127","22.4379997253418","22.298999786377","22.4610004425049","22.6499996185303","22.5440006256104","22.8780002593994","22.1429996490479","22.4479999542236","22.2789993286133","21.6079998016357","21.7910003662109","21.2880001068115","20.75","20.5879993438721","20.5149993896484","20.318000793457",
"Switzerland","CHE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6199989318848","37.9360008239746","36.8330001831055","36.5050010681152","38.1279983520508","35.2560005187988","34.3709983825684","34.8050003051758","34.2540016174316","34.9370002746582","34.1450004577637","33.0779991149902","31.6639995574951","31.3740005493164","31.988000869751","32.1730003356934","32.2939987182617","32.6129989624023","31.8579998016357","32.2890014648438","32.2719993591309","31.2059993743896","31.3279991149902","30.5440006256104","29.9890003204346","29.9069995880127","29.4759998321533","29.261999130249",
"Switzerland","CHE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.548999786377","14.8999996185303","14.4350004196167","15.1700000762939","15.3669996261597","15.0500001907349","13.8999996185303","12.8680000305176","12.6120004653931","12.4060001373291","12.3380002975464","11.673999786377","11.2299995422363","11.2980003356934","11.0069999694824","11.1929998397827","10.7299995422363","11.41100025177","10.7700004577637","10.7130002975464","10.4040002822876","10.3039999008179","10.6470003128052","10.5780000686646","10.0970001220703","9.88599967956543","10.1409997940063","9.98400020599365",
"Switzerland","CHE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85375.5625","85605.90625","85613.09375","87311.703125","86920.4375","86646.7890625","88966.1328125","89995.78125","90714.078125","94002.6875","93846.484375","93707.3828125","93895.734375","96452.78125","98796.796875","100385.3203125","102247.3125","101856.3203125","98882.90625","103103.5625","102215.25","101810.6953125","102560.890625","103277.1171875","103019.8828125","103063.375","103485.3984375","105459.7421875",
"Switzerland","CHE","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.99499988555908","3.0460000038147","3.10199999809265","3.09299993515015","3.10800004005432","3.10899996757507","2.93899989128113","2.85199999809265","2.81599998474121","2.49600005149841","2.58200001716614","2.56900000572205","2.35500001907349","2.03999996185303","2.03900003433228","2.21399998664856","2.35800004005432","1.96300005912781","2.18600010871887","2.01999998092651","2.13899993896484","2.06900000572205","2.1489999294281","2.05200004577637","1.96599996089935","1.98599994182587","2.04500007629395","1.99100005626678",
"Switzerland","CHE","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88900005817413","1.91400003433228","1.95099997520447","1.94500005245209","1.9539999961853","1.94200003147125","1.73300004005432","1.86899995803833","1.8289999961853","1.66100001335144","1.90699994564056","1.89999997615814","1.75300002098083","1.42400002479553","1.32099997997284","1.36600005626678","1.68499994277954","1.45799994468689","1.73300004005432","1.63900005817413","1.59399998188019","1.55999994277954","1.70700001716614","1.56700003147125","1.46800005435944","1.57400000095367","1.61000001430511","1.56599998474121",
"Switzerland","CHE","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4850001335144","4.54899978637695","4.6399998664856","4.62799978256226","4.65299987792969","4.63000011444092","4.48199987411499","4.10300016403198","4.06199979782104","3.5550000667572","3.42600011825562","3.38100004196167","3.08500003814697","2.78800010681152","2.90100002288818","3.23399996757507","3.17499995231628","2.55800008773804","2.71499991416931","2.47499990463257","2.78600001335144","2.66799998283386","2.66400003433228","2.61400008201599","2.53999996185303","2.45799994468689","2.54999995231628","2.48099994659424",
"Switzerland","CHE","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4120025634766","82.3259963989258","82.2409973144531","82.2620010375977","82.2269973754883","82.1969985961914","81.6179962158203","82.1669998168945","82.0130004882813","81.984001159668","82.8410034179688","83.0530014038086","82.4899978637695","83.7730026245117","83.9789962768555","84.0790023803711","83.8509979248047","84.1220016479492","84.75","84.2750015258789","84.5979995727539","84.6949996948242","84.6689987182617","84.7320022583008","85.1330032348633","84.9420013427734","85.1449966430664","85.2149963378906",
"Switzerland","CHE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.6360015869141","80.552001953125","80.5080032348633","80.5530014038086","80.5400009155273","80.4769973754883","79.8919982910156","80.4079971313477","79.9820022583008","79.7839965820313","80.6080017089844","80.8170013427734","80.1800003051758","81.2220001220703","81.8170013427734","82.0670013427734","82.0169982910156","81.8619995117188","82.7760009765625","82.0940017700195","82.5329971313477","82.6740036010742","82.6600036621094","82.7959976196289","83.5770034790039","83.1520004272461","83.3740005493164","83.443000793457",
"Switzerland","CHE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8030014038086","84.6800003051758","84.5559997558594","84.5439987182617","84.484001159668","84.4369964599609","83.8270034790039","84.4049987792969","84.5759963989258","84.7740020751953","85.6320037841797","85.765998840332","85.2949981689453","86.8659973144531","86.5790023803711","86.5","86.0739974975586","86.7839965820313","87.0599975585938","86.8769989013672","87.0510025024414","87.0749969482422","87.015998840332","86.9720001220703","86.9280014038086","86.9980010986328","87.1940002441406","87.2620010375977",
"Switzerland","CHE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.63899993896484","9.70300006866455","9.76299977302551","9.72699975967408","9.75000023841858","9.77300000190735","10.2730000019074","10.0020000934601","9.79400014877319","9.66700005531311","10.3900001049042","10.4230000972748","10.8650002479553","9.80999994277954","9.61100006103516","9.65699982643127","10.1280000209808","9.70400023460388","9.44300007820129","9.34499979019165","9.39400005340576","9.09400010108948","9.24000000953674","9.28299999237061","9.04799973964691","9.06099975109101","9.03800010681153","8.98300015926361",
"Switzerland","CHE","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9169999361038","11.0029997825623","11.0499999523163","11.0219997167587","11.0519995689392","11.1380001306534","12.0760004520416","11.8499999046326","11.5420002937317","11.4680001735687","10.16000020504","10.2739995718002","10.6389997005463","9.75200009346008","9.14800012111664","9.05899989604949","9.735999584198","9.50300002098084","9.17599987983703","9.11000025272369","9.10299980640412","8.64099979400635","8.96800017356873","8.95200026035309","8.44399988651276","8.63599979877471","8.66600024700164","8.6269998550415",
"Switzerland","CHE","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.91700005531311","7.97799968719482","8.04499983787537","7.99999976158143","8.00599980354309","7.99500012397766","7.96399998664856","7.65100026130676","7.58899974822998","7.3840000629425","10.6779999732971","10.6050000190735","11.1370000839233","9.88199996948242","10.1669998168945","10.3760001659393","10.6029999256134","9.94099998474121","9.75300002098083","9.625","9.73900008201599","9.62700009346008","9.55600023269654","9.66500020027161","9.74499988555908","9.54800009727478","9.47000002861023","9.39300012588501",
