"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Colombia","COL","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3879353","","0.4661255","","","","","","","","",
"Colombia","COL","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14115","","0.1048","","","","","","","","",
"Colombia","COL","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174000","","214000","","","","","","","","",
"Colombia","COL","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0026818","","0.0019911","","","","","","","","",
"Colombia","COL","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","35","34","35","33","30","32","31","32","31","31","32","32","31","30","31","32","33","",
"Colombia","COL","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","",
"Colombia","COL","Tuberculosis treatment success rate (% of new cases)","SH.TBS.CURE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","71","73","80","80","71","71","77","56","75","74","73","72","71","76","75","61","","",
"Colombia","COL","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","","","","","0.5","","","","","0.4","","","","","0.4","","","","","0.2","","","","","","","","",
"Colombia","COL","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","","0.5","","","","","0.400000005960464","","","","","0.400000005960464","","","","","0.200000002980232","","","","","","","","",
"Colombia","COL","Prevalence of severe wasting, weight for height, female (% of children under 5)","SH.SVR.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.300000011920929","","","","","","","","","0.600000023841858","","","","","0.300000011920929","","","","","0.400000005960464","","","","","0.100000001490116","","","","","","","","",
"Colombia","COL","Prevalence of wasting, weight for height (% of children under 5)","SH.STA.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","3.8","","","","","","1.7","","","","","1.1","","","","","1.5","","","","","0.9","","","","","","","","",
"Colombia","COL","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","","","","","1.70000004768372","","","","","1.10000002384186","","","","","1.70000004768372","","","","","0.899999976158142","","","","","","","","",
"Colombia","COL","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10000002384186","","","","","","","","","1.70000004768372","","","","","1.10000002384186","","","","","1.39999997615814","","","","","0.899999976158142","","","","","","","","",
"Colombia","COL","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","SH.STA.WASH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","",
"Colombia","COL","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","","","18.5","","",
"Colombia","COL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","6.7","","","","","7.2","","","","","8.3","7.2","","",
"Colombia","COL","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","","","","10.5","","","","","11.7","","","","","13.4","11.6","","",
"Colombia","COL","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","","","3","","","","","2.7","","","","","3.3","2.8","","",
"Colombia","COL","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","","","21.8","","","","","","19.7","","","","","18.1","","","","","16.2","","","","","12.7","","","","","","","","",
"Colombia","COL","Prevalence of stunting, height for age, male (% of children under 5)","SH.STA.STNT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","22.1000003814697","","","","","19","","","","","17.7999992370605","","","","","13.6999998092651","","","","","","","","",
"Colombia","COL","Prevalence of stunting, height for age, female (% of children under 5)","SH.STA.STNT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7000007629395","","","","","","","","","17.2000007629395","","","","","17.1000003814697","","","","","14.6999998092651","","","","","11.6000003814697","","","","","","","","",
"Colombia","COL","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7574959782607","16.9779164454079","17.1938120691258","17.4052275025131","17.6121361139001","17.8147178205651","18.0129537776312","18.2068889417328","18.3965683333288","18.5820370325507","18.763340175338","18.9405229498344","19.1137630328166","19.282988530946","19.4482447679938","19.6097324416054","","","",
"Colombia","COL","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6348721618598","15.6575725591922","15.6802729565246","15.702973353857","15.7256737511894","15.7483741485218","15.7710745458542","15.7937749431866","15.816475340519","15.8391757378514","15.8618761351838","15.8845765325162","15.9072769298486","15.929977327181","15.9526777245134","15.9753781218458","","","",
"Colombia","COL","People using safely managed sanitation services, rural (% of rural population)","SH.STA.SMSS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","SH.STA.POIS.P5.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.4","","","","","0.5","","","","","0.5","0.5","","",
"Colombia","COL","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","SH.STA.POIS.P5.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","","","0.2","","","","","0.2","","","","","0.2","0.2","","",
"Colombia","COL","Mortality rate attributed to unintentional poisoning (per 100,000 population)","SH.STA.POIS.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","0.3","","","","","0.3","","","","","0.4","0.4","","",
"Colombia","COL","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","","","","4.5","","","","","5.3","","","","","4.2","","","","","4.8","","","","","","","","",
"Colombia","COL","Prevalence of overweight, weight for height, male (% of children under 5)","SH.STA.OWGH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","4.80000019073486","","","","","","","","","4.90000009536743","","","","","6.30000019073486","","","","","4.30000019073486","","","","","5.40000009536743","","","","","","","","",
"Colombia","COL","Prevalence of overweight, weight for height, female (% of children under 5)","SH.STA.OWGH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","4.09999990463257","","","","","4.30000019073486","","","","","4.19999980926514","","","","","4.19999980926514","","","","","","","","",
"Colombia","COL","Diarrhea treatment (% of children under 5 who received ORS packet)","SH.STA.ORTH","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","40","31.1","","","","","44.5","","","","","21.2","","","","","46.6","","","","","54.1","","","","","","","","",
"Colombia","COL","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","SH.STA.ORCF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3","","","","64.8","","","","","26.5","","","","","43.7","","","","","38.8","","","","","52","","","","","","","","",
"Colombia","COL","People practicing open defecation (% of population)","SH.STA.ODFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.53986860660284","9.12254866010628","8.71175947245345","8.30744180399129","7.90930213123792","7.51775965547252","7.13251097993768","6.75349686498033","6.38065807094707","6.01393535818461","5.65326948703963","5.29860121785877","4.950026608613","4.60731137547374","4.27039627878773","3.93934775669908","","","",
"Colombia","COL","People practicing open defecation, urban (% of urban population)","SH.STA.ODFC.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8946478181473","1.83352970615579","1.77241159416428","1.71129348217278","1.65017537018126","1.58905725818975","1.52793914619825","1.46682103420673","1.40570292221523","1.34458481022372","1.2834666982322","1.2223485862407","1.16123047424919","1.10011236225768","1.03899425026617","0.977876138274667","","","",
"Colombia","COL","People practicing open defecation, rural (% of rural population)","SH.STA.ODFC.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2723408833417","28.2238952164762","27.1754495496102","26.1270038827447","25.0785582158792","24.0301125490137","22.9816668821477","21.9332212152822","20.8847755484167","19.8363298815511","18.7878842146856","17.7394385478196","16.6909928809541","15.6425472140886","14.5941015472231","13.5456558803576","","","",
"Colombia","COL","Maternal mortality ratio (national estimate, per 100,000 live births)","SH.STA.MMRT.NE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","","","","100","92","105","99","84","77.8","79","73.1","75","76","62.8","72.88","","71.22","","","","","","","",
"Colombia","COL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","120","118","114","109","105","103","98","99","98","97","95","93","89","83","80","77","75","73","73","72","69","66","67","66","64","","","",
