"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Czech Republic","CZE","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.958174904943","","","","","14.5095057034221","","","","","14.9733840304183","","","","","14","","12.5475285171103","","","","",
"Czech Republic","CZE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.493","","","","","1.908","","","","","1.969","","","","","1.841","1.65","","","","","",
"Czech Republic","CZE","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","ER.H2O.FWST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.992001","","","","",
"Czech Republic","CZE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.73","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.45","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8022","","","","","0.9801","","","","","1.513","","","","","2.347","2.667","","","","","",
"Czech Republic","CZE","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7798585584753","","","","","83.2501885799024","","","","","105.400465956769","","","","","113.784609023781","126.341989925303","","","","","",
"Czech Republic","CZE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23427","22610","22608","21724","20881","21183","22965","24129","24744","24193","24797","23912","24697","25077","24723","24559","24183","24410","24869","24796","23118.4","23947","24041","24459","","",
"Czech Republic","CZE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3185","3955","3929","3524","3321","3952","4190","4654","4646","4983","5127","4528","4242","4646","4276","4164","4112","3990","3859","4033","3761","3812","3841","3507","","",
"Czech Republic","CZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20242","18655","18679","18200","17560","17231","18775","19475","20098","19210","19670","19384","20455","20431","20447","20395","20071","20420","21010","20763","19357.4","20135","20200","20952","","",
