"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Euro area","EMU","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","27.1364423613623","26.9131880954818","26.151288782685","26.2627722288779","26.5903788792189","26.7326432211169","27.0929467409178","26.3535350862606","27.1499184773194","29.3482941117275","30.4439937218353","30.362781063583","30.6193061141921","32.7061304222798","39.0092689826278","35.3625196911349","38.494191081723","38.5171628090372","37.288012851524","39.4396789662791","40.7435763838254","42.6353721215272","42.0537044927976","41.3714413103365","43.9901669233474","44.7142216654059","38.8689535634014","38.252414555551","38.6536484563882","40.9286993565026","40.0550038743537","38.899664620857","37.5000309819915","36.7629888433166","39.6138831658364","42.1764673602049","42.6944842924597","45.9094495328896","47.5079352025375","51.260512004255","59.2051579149934","58.2017459087684","56.2669350295666","55.2050729556618","57.4585357651412","60.0685432332463","63.7362894285743","65.1244173770904","66.3148605050559","55.6426856580204","63.5841190049122","69.0124037600161","70.0944054079663","68.8904186370856","68.3823092726477","68.2732717494551","66.7541021244402","69.8712509068953","71.0505184015953",
"Euro area","EMU","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15894811304896","8.23658292907174","7.68020289083284","7.61698526220397","7.66683748082325","7.31491955462644","7.22568035995871","7.27957586603235","7.25134990849974","6.65665661571308","6.31996342226914","5.73828489265193","5.6166981758025","5.39135561831496","6.15065866572782","5.5141523952797","5.21671663045761","5.24661395203713","5.37601469155684","5.46692656343174","5.2891001661073","5.39876222784495","5.36497260823611","",
"Euro area","EMU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155263482100","158764428500","145941176800","153103626300","158164576500","156242379000","156140868600","165619103600","199228218900","221210691900","231680909000","238714462000","275186224000","297502088000","265269451000","261194804000","287091334000","270669470000","287744000000","302576000000","258451000000","266614000000","290837000000","",
"Euro area","EMU","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137231734600","141153293500","132722641300","138911928900","140226787100","139403014600","138721842400","145783276800","176738925000","193953052100","204009887500","211355300800","244130394000","270657299000","242480169000","236293900000","258990150000","241715196000","258973000000","274728000000","231636000000","240065000000","263042000000","",
"Euro area","EMU","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143397276000","146894680000","142138146000","152797030000","158406450000","157536310000","155943992000","166787871000","196618797000","225535249000","232594346000","250132039000","283196779000","309093366000","270024236000","259979493000","296578320000","282924894000","306890000000","321180000000","286611000000","291936000000","324751000000","",
"Euro area","EMU","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19381931781968","8.31137616392913","8.07357255075925","7.98327790920824","8.76614553078164","8.50959063844911","8.2990315415743","7.90538907432631","7.71749884972673","7.3624057756946","6.90236916420126","6.58631623881048","6.28909301156394","6.07286297507418","6.67698201107935","5.99835432855053","5.86500863857475","5.90182953614156","6.0433458503725","6.08486908482227","6.10709147769751","6.14341267371328","6.26323258845804","",
"Euro area","EMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164600114000","170214733000","162559506000","173109333000","185807419000","182172696000","183210419000","194424491000","227924284000","263225697000","264157621000","282704047000","320614193000","343883919000","301942917000","295117675000","335071541000","326379126000","351344000000","367257000000","330735000000","336365000000","375582000000","",
"Euro area","EMU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143099914.116068","161547983.86923","168981119.535052","181734907.735255","182693550.901225","186155030.008622","193891539.450752","198237034.368309","210591706.067603","208084399.815513","221483310.808629","226001706.079576","225147848.665552","227063091.111759","231191961.485011","225750814.481501","230268683.297888","231738042.404194","235717214.620852","251642112.197578","262760348.112161","",
"Euro area","EMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196847000","202466000","217627000","229558000","240992000","255220000","253457000","259072000","257998000","259716000","268230000","284573000","293226000","290467000","277391000","284018000","301188000","307789000","322512000","337513000","352907000","366887000","396702000","",
"Euro area","EMU","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","62.0902995785726","62.5663221314937","63.0550878985305","63.6113694435618","64.1664336085709","64.7196955754379","65.2709547110423","65.8150358413128","66.3115675708428","66.7317850262124","67.1416687292489","67.5315199755769","67.86541818429","68.177472672718","68.4781298078145","68.7315345555442","68.9538638544137","69.1967696528079","69.441029268725","69.6833168511155","69.9233185421622","70.1618994576785","70.3175863248479","70.4268184178115","70.4953183246435","70.5481894639651","70.6375687965761","70.8064042485702","70.9655427829781","71.0730500969069","71.2200201807131","71.3830732988442","71.5320082694295","71.6961984885841","71.8785750721823","72.0563338849661","72.2322751123822","72.4058954968194","72.577517415093","72.7537152632056","72.9421663791117","73.1472450926866","73.3907787154966","73.6413861696234","73.8868795366417","74.1299702142857","74.3678319507545","74.5966281749744","74.823148025173","75.0508906255318","75.2816981830028","75.509022879626","75.7236934634696","75.9291216578059","76.1281387053755","76.3397020364095","76.5543043808563","76.7699188658867","76.9917327106284",
"Euro area","EMU","Urban population","SP.URB.TOTL","164665919","167440680","170318133","173439820","176562532","179694856","182738464","185581869","188236267","190705184","192924096","195114378","197403261","199574711","201599083","203392781","204966410","206512117","208082003","209667686","211297243","212831306","213887984","214652134","215221599","215791198","216603493","217721472","218940388","220211027","221681277","223220677","224726427","226165011","227399932","228549321","229700813","230802308","231837254","233000247","234371053","235934885","237878107","239986941","242114378","244169604","246100105","248142077","250114873","251691335","253060543","253272096","254552159","256110532","257668061","259198842","260756917","261911604","263144784",
"Euro area","EMU","Urban population growth (annual %)","SP.URB.GROW","","1.68508518146977","1.71849099036147","1.83285651681022","1.80045851062344","1.77405928909084","1.69376467849476","1.55599699032165","1.43031106125997","1.31160537729957","1.16352998563478","1.1353076393319","1.17309806866206","1.10000715742989","1.01434294448256","0.889735197853042","0.773689701405871","0.754126981099006","0.760190744642841","0.762047162723633","0.777209417000961","0.726021304499454","0.496486170131377","0.357266446533998","0.26529668696422","0.264656987331463","0.376426382321668","0.516140799262189","0.55985107431205","0.580358430715847","0.667655030735574","0.694420395277675","0.67455668544541","0.640149011046205","0.54602654696221","0.505448260204403","0.503826480412073","0.479534654498593","0.448412326968594","0.50164198373399","0.588328131686481","0.667246223448942","0.823626400140014","0.886518741298033","0.886480318943697","0.848865737333455","0.790639362301619","0.829732275002499","0.795026794266732","0.630295184405114","0.544002835854471","0.0835977815790869","0.50541019726073","0.612201839545207","0.608147188574023","0.594090316843747","0.601111867621682","0.442821234920501","0.470838245105014",
"Euro area","EMU","Rural population (% of total population)","SP.RUR.TOTL.ZS","37.9097004214274","37.4336778685063","36.9449121014695","36.3886305564382","35.8335663914291","35.2803044245621","34.7290452889577","34.1849641586871","33.6884324291572","33.2682149737876","32.8583312707511","32.4684800244231","32.13458181571","31.822527327282","31.5218701921855","31.2684654444559","31.0461361455863","30.8032303471921","30.5589707312749","30.3166831488845","30.0766814578378","29.8381005423215","29.6824136751521","29.5731815821885","29.5046816753565","29.4518105360349","29.3624312034239","29.1935957514298","29.0344572170219","28.9269499030931","28.7799798192869","28.6169267011558","28.4679917305705","28.303801511416","28.1214249278177","27.9436661150339","27.7677248876178","27.5941045031806","27.422482584907","27.2462847367944","27.0578336208883","26.8527549073134","26.6092212845034","26.3586138303766","26.1131204633583","25.8700297857143","25.6321680492455","25.4033718250256","25.176851974827","24.9491093744682","24.7183018169972","24.490977120374","24.2763065365304","24.0708783421941","23.8718612946245","23.6602979635905","23.4456956191437","23.2300811341133","23.0082672893716",
"Euro area","EMU","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","-0.355680386170349","-0.387798330374352","-0.577566783636385","-0.619563113277053","-0.653903051854883","-0.74066341207272","-0.861418325856675","-0.791418349051725","-0.582127128912973","-0.692836937351998","-0.641538537585902","-0.359995148442081","-0.340009055610565","-0.379353339110963","-0.290296969588695","-0.265459872116452","-0.385095693764868","-0.390418864287298","-0.384416139914961","-0.363759428373996","-0.412774163148356","-0.24921935894146","-0.167131750374054","-0.0641524043854957","0.00998473148716528","-0.0548184068674686","-0.300128352581595","-0.212587225062137","0.0563543271621967","-0.0504917264206171","-0.104766272063145","-0.0579176121436404","-0.169443652720474","-0.355316391874894","-0.376230035442305","-0.372240869273057","-0.388153400749843","-0.412379776709386","-0.385945926952274","-0.365480094346168","-0.375833890826769","-0.422292319227083","-0.403730072301798","-0.385215091445218","-0.417578381726173","-0.455492661477138","-0.376781286477566","-0.406181606049699","-0.582578258336284","-0.691552620304961","-1.13536932596354","-0.657977042211627","-0.509090913546856","-0.484516984587358","-0.573728170211325","-0.590809951055732","-0.760391869236869","-0.775204567644195",
"Euro area","EMU","Rural population","SP.RUR.TOTL","100538015","100180421","99791923","99215558","98600855","97956101","97230576","96393014","95630142","95073453","94414749","93809042","93471334","93153523","92800142","92530746","92285114","91929728","91570817","91218804","90886987","90511829","90286256","90135359","90077535","90086529","90037145","89766918","89576085","89626565","89581311","89487460","89435631","89284088","88966847","88632127","88302202","87959454","87596727","87258651","86939738","86612989","86247229","85899023","85568127","85210813","84822684","84503088","84159852","83669555","83090936","82147547","81607035","81191581","80798194","80334632","79860007","79252758","78638387",
"Euro area","EMU","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9414836525121","","","","","","","","","","99.4943334654973","","","","","","","","","","99.9670456867835","","","","","","","","",
"Euro area","EMU","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","",
"Euro area","EMU","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
