"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Guatemala","GTM","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","100","100","100","100","100","99.95","99.95","99.95","99.95","99.95","99.97","99.97","99.97","99.97","99.97","100","100","100","100","","","",
"Guatemala","GTM","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","40.68256435","42.45674593","36.21501179","30.13458742","27.79792593","26.65379202","26.32457807","36.39429873","37.35458243","39.67819259","40.4885242","41.10740975","53.37412616","56.51491195","59.24071188","64.83399936","61.37219257","81.21246699","100.084503","95.26959096","100","113.7204539","154.5620926","159.2316915","170.3078694","173.135996","183.6300118","193.7358197","183.7062543","163.6265999","180.1490691","191.3896618","195.7838177","205.9339034","220.6507239","231.4305711","225.297774","244.2735887","",
"Guatemala","GTM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","22.4223862037549","21.4544461274678","19.9370409233998","25.5780804561292","28.2503293241728","31.1701991264984","31.1353994391314","30.6157550739594","29.5560384973611","29.4391995708989","30.1470588235294","29.2220878677952","30.9808213962785","33.7459118112287","40.2340673804861","37.2198908362818","36.6297832162837","40.3795259418109","39.1229849068301","39.7676226416822","39.5750567987104","33.8541957413583","28.7713672859252","25.2486176685694","25.4276660461704","22.9590606620727","27.6964892808657","34.3571799301492","32.8886843384381","32.839026479983","36.7575682764202","32.4576682699163","36.6541313373351","34.5528060007102","33.3584026665758","36.0549585926264","33.1869509044024","35.0926970102782","37.1942098844715","38.5077041787542","40.8630339992535","43.1646533995334","56.8955482446313","57.4238915255028","60.55010592238","58.3579429609027","59.3425689595031","60.0179864842551","56.9385135792362","49.6765890034614","53.9472606095044","56.6868587296412","53.5301128571673","51.1465415353484","49.5297155482724","44.4049975944537","39.9993280467518","38.8653304271816","39.1955447811868",
"Guatemala","GTM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48009443073291","4.60438970650547","3.48182772107221","3.76423972263497","4.30587672434415","3.880285991449","4.38349581370112","4.7979743309463","5.10829872410437","4.84064555166496","4.79292233123418","5.15228745830974","5.07876566010171","4.78514769626898","6.74775073115962","6.58615544362153","5.19476788509024","5.0062219006263","4.98021281316596","5.14210372032836","5.13737440592736","5.26256977294858","4.95654435616452","",
"Guatemala","GTM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167000000","163000000","146000000","190000000","216000000","216000000","266000000","329000000","373000000","488000000","532000000","655000000","737000000","740000000","862000000","1002000000","935000000","920000000","952000000","1033000000","1004000000","989000000","1010000000","",
"Guatemala","GTM","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141000000","135000000","119000000","157000000","183000000","182000000","225000000","276000000","312000000","385000000","421000000","529000000","597000000","606000000","715000000","784000000","708000000","706000000","725000000","788000000","755000000","735000000","748000000","",
"Guatemala","GTM","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213000000","216000000","266000000","314000000","356000000","482000000","562000000","620000000","621000000","630000000","791000000","919000000","1055000000","1335000000","1359000000","1378000000","1350000000","1419000000","1479000000","1564000000","1580000000","1550000000","1566000000","",
"Guatemala","GTM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26000000","28000000","27000000","33000000","33000000","34000000","41000000","53000000","61000000","103000000","111000000","126000000","140000000","134000000","147000000","218000000","227000000","214000000","227000000","245000000","249000000","254000000","262000000","",
"Guatemala","GTM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","5000000","4000000","15000000","18000000","16000000","26000000","27000000","25000000","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65035064107105","7.90273556231003","8.45944167684933","9.43558563726052","10.7468176201833","12.8972107839329","15.0654977959455","16.3206529311814","15.6846902449903","10.1522842639594","11.6885611691517","12.0905144059992","12.1063986046085","13.3967338203466","14.4827585975859","12.7553400575095","10.5820167429804","11.3178915935661","11.6308718680666","11.3153789772168","11.5777137187568","11.5973692677197","11.2224276561895","",
