"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"India","IND","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.47","","","","","66.05","","","","","64.35","","47.73","","","","","","",
"India","IND","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.58","","","","","73.08","","","","","77.24","","68.62","","","","","","",
"India","IND","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25266349394084","3.03180236369371","",
"India","IND","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96218536109875","7.83353427616164","8.57","7.0034167764388","6.50484990341366","6.23043505153482","5.97506060606061","",
"India","IND","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","","","","","","","","","","","25.7","","","","","20.9","","13.7","","","","","","","",
"India","IND","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","","4.5","","2.5","","","","","","","",
"India","IND","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","65","","","","","","62","","","","59.2","","","","","","57.7","","","","","","","","","","","53.3","","","","","49.6","","43.5","","","","","","","",
"India","IND","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","97","","","","","","96.4","","","","95.5","","","","","","95.3","","","","","","","","","","","92.5","","","","","90.6","","86.8","","","","","","","",
"India","IND","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1","","","","","","","","","","","41.8","","","","","33.8","","25.7","","","","","","","",
"India","IND","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","6.8","","4.6","","","","","","","",
"India","IND","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3","","","","","","","","","","","37.2","","","","","29.8","","21.9","","","","","","","",
"India","IND","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","","","6.2","","4","","","","","","","",
"India","IND","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","44.2","","","","","","40","","","","36.3","","","","","","34.3","","","","","","","","","","","29.7","","","","","25.8","","19.7","","","","","","","",
"India","IND","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","88.1","","","","","","85.5","","","","82.8","","","","","","81.1","","","","","","","","","","","75.2","","","","","69.9","","60.4","","","","","","","",
"India","IND","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","32.1","","","","32.5","","","","","","31.7","","","","","","","","","","","34.4","","","","","35.4","","35.7","","","","","","","",
"India","IND","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","21","","","","","","17.1","","","","13.8","","","","","","12","","","","","","","","","","","9.2","","","","","7","","4.3","","","","","","","",
"India","IND","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","61.6","","","","","","54.8","","","","48.9","","","","","","45.9","","","","","","","","","","","38.2","","","","","31.1","","21.2","","","","","","","",
"India","IND","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","8.7","","","","","","8.9","","","","","","","","","","","8.5","","","","","8.3","","8.1","","","","","","","",
"India","IND","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","","3.8","","","","","","3.8","","","","","","","","","","","3.7","","","","","3.5","","3.5","","","","","","","",
"India","IND","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","26.4","","","","27.4","","","","","","26.7","","","","","","","","","","","29.1","","","","","30","","30.1","","","","","","","",
"India","IND","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","41","","","","41.6","","","","","","41.1","","","","","","","","","","","43.5","","","","","44.2","","44.4","","","","","","","",
"India","IND","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","21.6","","","","21.2","","","","","","21.2","","","","","","","","","","","20.6","","","","","20.5","","20.5","","","","","","","",
"India","IND","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","16.4","","","","16.1","","","","","","16.2","","","","","","","","","","","15.4","","","","","15.2","","15.2","","","","","","","",
"India","IND","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","12.5","","","","12.4","","","","","","12.7","","","","","","","","","","","12","","","","","11.8","","11.7","","","","","","","",
"India","IND","Domestic private health expenditure per capita, PPP (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.06855521","72.18217512","74.95769328","77.04310109","83.00767721","86.69521304","91.83799764","98.0857993","99.55124778","103.38214026","106.05282507","105.73453381","116.32910225","150.91395492","155.63188373","163.32455467","177.60965202","","",
"India","IND","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.22737985","15.65067124","16.11520552","17.60182995","20.05926897","21.74089195","23.14566041","27.90343604","28.68593544","28.18368614","32.95304932","34.23126314","34.85983423","43.09631428","43.19961541","43.42759235","46.12699522","","",
"India","IND","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.63828926","78.79404536","79.38268304","79.76470537","79.78323666","78.34146671","78.05872326","77.58825843","75.50201998","73.37129943","72.82317657","70.25712855","71.06796581","76.65864807","75.58837389","73.64810806","73.54952988","","",
"India","IND","Out-of-pocket expenditure per capita, PPP (current international $)","SH.XPD.OOPC.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.00631681","67.88770942","69.28391389","70.91947009","75.41205836","80.94946448","85.01222241","89.52533888","91.17324409","94.06346943","94.92896316","93.64631037","103.12310628","135.9805456","137.97776496","143.40199989","155.94458134","","",
"India","IND","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.31099594","14.71953733","14.89539583","16.20278046","18.22374524","20.30000848","21.42538035","25.46815732","26.27179319","25.64326191","29.49660985","30.31773421","30.90245107","38.83179877","38.29926258","38.13023465","40.50036063","","",
"India","IND","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.70202583","74.1062076","73.37396249","73.42475262","72.48267027","73.14936493","72.25708003","70.81672557","69.14794392","66.7577491","65.18476657","62.22490065","63.00013712","69.07303434","67.01399891","64.66441011","64.57785669","","",
"India","IND","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.01847408","17.29288811","17.15189392","18.07779196","18.70917197","22.27289033","24.12599852","26.42002757","29.83470526","36.08546841","38.164412","43.45298911","45.81517426","45.41912834","48.72282903","56.86042264","61.40124602","","",
