"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Korea, Rep.","KOR","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.2","","","","","54.3","","","","","47.9","46.6","45.4","44.2","43.1","42","40.9","","",
"Korea, Rep.","KOR","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","","","","","6.6","","","","","6.4","6.4","6.3","6.3","6.3","6.2","6.2","","",
"Korea, Rep.","KOR","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","","","","","30.2","","","","","26.9","26.2","25.6","25","24.5","23.9","23.3","","",
"Korea, Rep.","KOR","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7","34.5","33.4","32.3","31.2","30.1","29.1","28.1","27.2","26.4","25.8","25.3","25","24.9","24.9","24.8","24.8","24.7","24.7","24.6","24.6","24.7","24.8","24.9","25.1","25.4","25.8","","",
"Korea, Rep.","KOR","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0401055164556379","0.0385027430156748","0.0377287179401114","0.0361095377245144","0.0349960031625273","0.0340178213240624","0.0323402102742816","0.0298847683247024","0.0270402267824819","0.0238231117471214","0.0221930859466513","0.0195404978908822","0.018592344787608","0.0184437818938791","0.0172862052153143","0.0175477429119537","0.0158083871797312","0.0172766365788039","0.0174341589576014","0.0184069981960165","0.0181105474570493","0.0173721943982964","0.0161520784105049","0.0150939838512086","0.0143302360334017","0.0138101058747008","","","",
"Korea, Rep.","KOR","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","2600","2700","2800","2900","2900","3100","3300","3700","4200","4500","5100","5400","5400","5800","5700","6300","5800","5700","5400","5500","5800","6200","6600","7000","7200","","","",
"Korea, Rep.","KOR","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","140","140","130","130","130","120","110","100","91","85","75","71","70","66","67","60","66","66","70","68","65","60","56","53","50","","","",
"Korea, Rep.","KOR","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26","","","","","","","","","","0.37","0.15","0.11","0.11","0.16","0.18","0.17","0.12","",
