"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Nicaragua","NIC","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","99.95","99.95","99.95","99.95","99.97","99.97","99.97","99.97","99.97","100","100","100","100","100","","",
"Nicaragua","NIC","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","66.40555824","66.69424462","47.72841544","62.64069213","70.1351258499999","69.3635265199999","66.83913681","56.53601227","53.73229585","41.03326965","44.13407589","50.14066691","55.07146822","48.5218627","57.82661405","60.01373604","68.71412448","80.2982049","86.9696271","110.8405871","100","102.3003855","105.0150581","110.9914949","124.5913703","136.2503739","146.6434111","155.7016023","157.8586066","148.3238324","167.7535392","197.2687729","208.504947","209.279398","221.7226862","263.2568229","280.623589","279.4857457","",
"Nicaragua","NIC","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","60.3069848890054","57.7903169448104","68.9807019211362","74.4240056985027","76.6140656159085","54.5413268927704","53.4061728476543","54.1715570871313","49.8634875354213","44.9215007060123","48.6746033584454","48.0297278069739","53.0174001815614","55.3233174386989","62.0027596824369","56.0855132626608","58.1209285689426","62.4593428137369","57.9797122266634","60.6733907695751","61.1141027616723","61.5531629221602","47.9481054549833","45.747126177631","39.735733653239","47.1716341124991","38.2574744883438","28.5624241546069","39.4541152659434","91.3949804241969","95.8932826129194","68.7128671735427","60.1294065149487","57.5591422856877","31.114222149839","34.8028122411224","37.6013853221326","46.1734826389437","44.5497508521833","49.5704252619372","52.5323509856972","50.7218797505221","52.9649153031836","57.9243984768761","66.0159602113447","72.9276261030429","78.8920619912786","83.1831610208525","85.4658019674256","76.1565509955202","91.8295103748546","107.30161841812","108.849209745188","104.543649314342","101.612408248392","93.409610783941","89.1458446358577","90.1139299285582","89.984194833461",
"Nicaragua","NIC","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.08213086486977","6.09473846628607","5.3416149068323","5.64632388274868","5.60802833530106","6.2877389091272","6.46138313982837","6.33585077804248","6.60991963479005","6.32002298190175","5.67863151991026","5.90717299578059","5.32963095664636","5.00547769256923","5.82506598707563","4.29700928154005","3.67787908972493","3.38145949965624","3.84476584404408","3.90486332978346","3.67602504544536","4.25152574915998","4.80344158671928","",
"Nicaragua","NIC","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56000000","79000000","86000000","94000000","114000000","126000000","128000000","125000000","139000000","154000000","162000000","224000000","238000000","265000000","256000000","225000000","240000000","241000000","277000000","286000000","273000000","310000000","364000000","",
"Nicaragua","NIC","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000000","60000000","65000000","70000000","78000000","78000000","76000000","69000000","75000000","89000000","91000000","136000000","127000000","144000000","134000000","121000000","138000000","136000000","152000000","168000000","156000000","181000000","214000000","",
"Nicaragua","NIC","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","54000000","80000000","100000000","125000000","129000000","135000000","135000000","160000000","192000000","206000000","249000000","277000000","303000000","336000000","314000000","391000000","421000000","417000000","446000000","528000000","642000000","841000000","",
"Nicaragua","NIC","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000000","19000000","21000000","24000000","36000000","48000000","52000000","56000000","64000000","65000000","71000000","88000000","111000000","121000000","122000000","104000000","102000000","105000000","125000000","118000000","117000000","129000000","150000000","",
"Nicaragua","NIC","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","2000000","3000000","3000000","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31268058707723","8.51751821200258","10.2611076490301","12.378855472656","15.2177686471166","13.5276845637584","14.5067698259188","14.9270234409553","15.7993482768836","15.6721900253041","14.5982297874753","11.7858664268472","11.2858539765319","10.3324808184143","11.8849704644335","8.85754583921016","8.88111570435652","8.42033681347254","8.40031425636067","8.34580838323353","10.3270223752151","12.428131714966","14.7541271205768","",
