"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Pakistan","PAK","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.93145688652939","6.93004657253483","7.43497002667954","6.60620797085997","6.42924400760493","6.77464876292181","6.54388447069919","6.32754556545384","6.37616452547183","6.35567615125826","6.39617073072934","6.58379853915764","7.36901784655862","7.47742077531712","7.73334071606467","7.95709072802873","7.78251964137704","7.66980406614082","7.15508909457548","5.0089630922058","4.40839526553216","","",
"Pakistan","PAK","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.52672057434157","","","",
"Pakistan","PAK","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34925804172762","","","",
"Pakistan","PAK","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1230000","980000","900000","758000","747000","1900000","1459000","464000","249000","119000",
"Pakistan","PAK","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89000","84000","11060000","300000","1857000","407000","771000","1002000","13000","1800","2100",
"Pakistan","PAK","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","400000","190000","412000","140000","907000","","2400","75000","1800",
"Pakistan","PAK","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","26","","0","38","69","42","","","","1","20","32","174","359","110","419","747","3537","6864","6052","2863","3018","1802","3136","2077","735","668","",
"Pakistan","PAK","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","16.382252559727","21.3013168086755","24.544","20.3451214316148","26.2562814070351","22.2582972582972","26.3292902982587","28.652275844518","24.4707672339686","23.8919043764299","25.1251211126052","21.5941268946564","20.6103285211388","17.3402111982594","12.0330696074567","12.4836699125287","8.64031261150401","7.81341667738987","8.5920130931037","7.65780842455686","6.81532832375911","7.14923641335922","6.91573926868044","6.06060606060606","6.5112540192926","6.97858842188739","6.68044077134986","8.43123704215619","10.4311746435044","8.96993592902908","11.5176151761518","12.6315789473684","12.554628526023","10.7850911974623","10.4060047765268","10.7897020538039","10.5772230889236","8.70353581142339","7.92580101180438","9.16449840994507","8.87541345093716","8.99319634038226","9.73909221671728",
"Pakistan","PAK","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","54.2235494880547","49.8063516653759","45.7600000000001","53.5790370685983","47.6489590811199","51.1002886002886","52.969320248461","48.6289028740806","49.6604685824046","51.5397573656469","49.1156439615862","50.2633245833925","44.6532921267818","51.6119138284021","59.2596360150574","62.3974799902953","66.342092631116","57.6086108698951","60.1832382791026","57.9665195369332","50.5467962485679","57.0506497741271","56.8362480127186","61.0974610974611","67.524115755627","64.8691514670896","54.5454545454545","57.8438147892191","54.7782355580678","53.0310497782159","50.2710027100271","48.9244851258581","48.7485101311085","45.796986518636","48.5841009894234","47.7292450101244","43.0889297971919","37.3526745240254","38.5609893198426","33.9404452153802","29.0242557883131","23.7366730794288","21.1632971072399",
