"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"American Samoa","ASM","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","107.1844655","105.4331811","124.3063191","114.5070065","90.94501465","97.38351157","73.50636057","72.67805853","65.09086485","45.35855259","35.02420091","40.14671008","37.94054934","35.97087762","36.49269323","42.70006316","31.22949918","",
"American Samoa","ASM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170.038910505837","203.225806451613","202.1484375","174.950298210736","202.620967741935","152.115384615385","160.746003552398","142.477876106195","118.229166666667","112.369337979094","127.018633540373","135.257410296412","148.833592534992","159.45537065053","162.787136294028","159.621451104101","",
"American Samoa","ASM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","22000000","",
"American Samoa","ASM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","22000000","",
"American Samoa","ASM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34000","35000","26000","36000","41000","44000","36000","","","","24500","25300","24100","24300","23500","23100","22600","22600","20800","21600","20300","20100","20000","",
"American Samoa","ASM","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","66.211","66.641","67.068","67.493","67.916","68.334","68.75","69.163","69.574","69.98","70.384","70.784","71.182","71.576","71.967","72.354","72.739","73.12","73.497","73.871","74.33","75.043","75.743","76.429","77.103","77.762","78.408","79.04","79.659","80.263","80.948","81.886","82.789","83.654","84.485","85.28","86.043","86.771","87.467","88.131","88.587","88.491","88.394","88.297","88.198","88.1","88","87.9","87.799","87.697","87.594","87.502","87.42","87.348","87.288","87.238","87.198","87.17","87.153",
"American Samoa","ASM","Urban population","SP.URB.TOTL","13324","13729","14254","14871","15522","16176","16818","17462","18082","18687","19259","19808","20335","20829","21299","21744","22153","22549","22982","23524","24266","25290","26486","27829","29258","30731","32241","33782","35323","36836","38326","39866","41308","42680","44012","45336","46645","47916","49131","50281","51222","51762","52223","52540","52637","52474","52014","51303","50477","49709","49122","48790","48664","48664","48699","48689","48605","48484","48339",
"American Samoa","ASM","Urban population growth (annual %)","SP.URB.GROW","2.15453638329263","2.99434635840347","3.75271851642112","4.23754386268676","4.28453647254007","4.12702898461685","3.89210791325907","3.75773499779096","3.48898769265588","3.29111266249435","3.0150389001957","2.81074125601104","2.62576428570024","2.40027070800582","2.23138768172173","2.06777341523246","1.86350700917505","1.77177915668362","1.90205817680675","2.33098757622675","3.10550170319718","4.13328670521925","4.62072308228988","4.94623509404414","5.00743981106804","4.91188765474363","4.79670174237953","4.66891817310274","4.4606193582947","4.19413180180202","3.96528891871828","3.93953132542704","3.55323555085836","3.26742406243951","3.07318975741137","2.96390948596519","2.84643215456062","2.68837374561602","2.50407222667553","2.31370720121379","1.85418551082465","1.04871620662723","0.886672155150063","0.605177338339651","0.18445102541669","-0.310148568010885","-0.880489571689362","-1.37636831155319","-1.62314430090906","-1.53317837624226","-1.1879003605147","-0.678162579462031","-0.258583680934158","0","0.0718958978413483","-0.0205364111289766","-0.172672561249544","-0.249255966476673","-0.299515834872394",
"American Samoa","ASM","Rural population (% of total population)","SP.RUR.TOTL.ZS","33.789","33.359","32.932","32.507","32.084","31.666","31.25","30.837","30.426","30.02","29.616","29.216","28.818","28.424","28.033","27.646","27.261","26.88","26.503","26.129","25.67","24.957","24.257","23.571","22.897","22.238","21.592","20.96","20.341","19.737","19.052","18.114","17.211","16.346","15.515","14.72","13.957","13.229","12.533","11.869","11.413","11.509","11.606","11.703","11.802","11.9","12","12.1","12.201","12.303","12.406","12.498","12.58","12.652","12.712","12.762","12.802","12.83","12.847",
"American Samoa","ASM","Rural population growth (annual %)","SP.RUR.TOTL.ZG","0.220864405472072","1.08251495951456","1.81665895679345","2.31616059249116","2.33194423451444","2.21212149586625","1.95514814419056","1.84062228102374","1.5421193900526","1.3691101253719","1.09182226038732","0.884526651496627","0.682596507039989","0.472642217802083","0.313858297237884","0.132490233171753","-0.0602010733972285","-0.168756067050437","-0.0241312742483711","0.409441805138751","0.706547457569883","0.369245848630848","0.840589807209882","1.1837231683684","1.21592604554968","1.14443913307841","1.01891518894798","0.897068137326491","0.689734628942388","0.420401105948978","-0.409315245952045","-2.2646707768458","-2.65426048895091","-2.93026636458792","-3.13001256189481","-3.24393543254904","-3.36592102153795","-3.51054810081747","-3.69508750327118","-3.88117058990622","-2.58783418696043","1.9954153927275","1.83977519736677","1.54839936037151","1.14221687280171","0.622702266882001","0.0705168917169823","-0.438008471375502","-0.667758395177042","-0.586176530096487","-0.244060131195516","0.172339551487759","0.486688621699895","0.654713411835794","0.608162542022292","0.436159678425524","0.182341028149158","0","-0.140232809406397",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6799","6873","6999","7163","7332","7496","7644","7786","7907","8016","8104","8176","8232","8271","8297","8308","8303","8289","8287","8321","8380","8411","8482","8583","8688","8788","8878","8958","9020","9058","9021","8819","8588","8340","8083","7825","7566","7305","7040","6772","6599","6732","6857","6964","7044","7088","7093","7062","7015","6974","6957","6969","7003","7049","7092","7123","7136","7136","7126",
"American Samoa","ASM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
