"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","4","1","2","2","2","","","","",
"Burundi","BDI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15232632560278","4.42924522245236","3.95805601276616","3.85912192481059","5.36497380283292","5.41656172078333","5.70169807486815","4.5199313284186","6.02052199689204","","",
"Burundi","BDI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.96758694319341","9.50195561352708","7.63667454128111","9.87199621767163","","",
"Burundi","BDI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98640195232594","2.02798056478861","1.50463108085559","2.29440483114793","","",
"Burundi","BDI","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000","100000","79000","79000","79000","78000","99000","59000","57000","49000",
"Burundi","BDI","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2800","","1500","","","","13000","3100","6600","11000","35000",
"Burundi","BDI","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000","16000","14000","5100",
"Burundi","BDI","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","61","","56","254","531","639","621","524","1348","1182","1170","972","387","286","141","","201","","","","","","49","133","","","",
"Burundi","BDI","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1896955503516","51.3826940231931","51.353226925746","57.0835123907753","48.5573971761815","30.2786377708977","32.3774283071232","26.1413843888068","20.1971359494142","15.2803947958726","34.2165372316126","36.7709041468389","20.1570815894177","30.6290012344614","32.2401676735298","30.2098984656015","22.2414379677933","23.5057190682105","20.1825285994387","40.7982146564245","61.7601477231511","24.1621217697772","12.7470071698371","11.4177010666055","8.15264269355449","13.5363586530987","11.3392062785162","10.7600337469714","17.4120832481934","",
"Burundi","BDI","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","57.3548387096763","55.9259259259267","44.7945205479447","62.6013513513504","34.0046838407496","38.7154326494198","36.0166551006246","33.8060449792295","29.8956414978514","48.1114551083589","46.1609620721556","31.5169366715756","53.6544541565928","65.7245401525344","48.3599817268159","43.0047586675731","36.4232935462203","23.1016564751816","31.557966547487","34.7083731730642","25.5712746654571","14.6620867624496","21.2164811758568","27.2550342536845","21.8155439047714","10.2274121412877","12.199249413984","20.8282841515738","6.43668220182886","8.64024249166143","13.3219678440574","12.5638224611656","10.8431723786746","",
