"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","5.15999984741211","","16.7000007629395","","15.7799997329712","","8.4399995803833","","","","","","","9.59000015258789","","8.19999980926514","10.8599996566772","7.67999982833862","12.2299995422363","13.8800001144409","12.4499998092651","12.5900001525879","9.98999977111816","8.60000038146973","8.28999996185303","5.75","6.03000020980835","","6.71000003814697","","9.98999977111816","","9.26000022888184","7.03000020980835","6.71999979019165","7.17999982833862","14.4499998092651","","13.710000038147","14.0699996948242","16.1100006103516","13","11","11.1000003814697","","",
"Bahamas, The","BHS","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1000003814697","15.8540000915527","13.0319995880127","15.2430000305176","11.7569999694824","14.6960000991821","11.3830003738403","9.84500026702881","9.29399967193604","8.20499992370605","7.0310001373291","9.52000045776367","11.8009996414185","11.0550003051758","11.2049999237061","8.0600004196167","9.11400032043457","9.26799964904785","14.0340003967285","14.7810001373291","15.3669996261597","13.9670000076294","16.2590007781982","14.6499996185303","13.0190000534058","14.5120000839233","14.3570003509521","13.4420003890991",
"Bahamas, The","BHS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","12.3000001907349","","27.0400009155273","","25.6700000762939","","21.1499996185303","","","","","","","14.9200000762939","","14.1999998092651","12.3900003433228","7.88000011444092","12.1000003814697","15.8100004196167","13.0299997329712","15.2200002670288","11.7200002670288","14.6700000762939","11.3400001525879","9.97000026702881","9.72000026702881","","7.01999998092651","","11.8400001525879","","11.1800003051758","8.02000045776367","9.06999969482422","9.25","14.039999961853","","15.3100004196167","13.9700002670288","16.2600002288818","14.6000003814697","12.8999996185303","14.5","","",
"Bahamas, The","BHS","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86999988555908","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.23999977111816","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.46000003814697","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.23999977111816","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.26999998092651","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19999980926514","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7390003204346","27.0590000152588","23.0860004425049","25.1340007781982","20.8509998321533","24.0279998779297","22.4909992218018","15.9169998168945","15.7709999084473","15.5019998550415","15.0869998931885","19.8379993438721","24.3649997711182","21.7110004425049","20.2740001678467","16.9589996337891","18.9650001525879","17.0919990539551","26.1499996185303","26.826000213623","27.2770004272461","30.8209991455078","34.4410018920898","29.3799991607666","25.6030006408691","26.2140007019043","25.7390003204346","25.1280002593994",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6100006103516","22.8500003814697","27.1200008392334","22.9400005340576","24.6499996185303","20.9799995422363","23.7800006866455","22.2000007629395","15.7299995422363","15.7799997329712","","15.0600004196167","","24.0499992370605","","20.1800003051758","","18.8999996185303","17.1100006103516","26.2000007629395","","27.5400009155273","30.7900009155273","","","","25.8386478424072","","",
"Bahamas, The","BHS","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.92799949646","23.7159996032715","20.6110000610352","22.4370002746582","18.3880004882813","18.7220001220703","16.6730003356934","10.548999786377","10.6389999389648","12.4429998397827","14.3050003051758","17.7970008850098","20.4969997406006","18.4080009460449","17.0559997558594","15.2950000762939","16.7059993743896","14.5780000686646","22.8689994812012","24.2450008392334","25.2770004272461","29.5289993286133","32.2949981689453","26.0839996337891","21.9850006103516","21.2369995117188","20.5939998626709","20.625",
"Bahamas, The","BHS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2200002670288","21.2099990844727","23.7999992370605","20.4599990844727","21.9500007629395","18.4699993133545","18.5799999237061","16.5499992370605","10.25","10.6099996566772","","14.0500001907349","","20.2900009155273","","16.9200000762939","","16.6700000762939","14.5799999237061","22.8500003814697","","25.3799991607666","29.6100006103516","","","","20.8268737792969","","",
"Bahamas, The","BHS","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0349998474121","31.3740005493164","26.3290004730225","28.7119998931885","24.0960006713867","30.9899997711182","30.1299991607666","22.9099998474121","22.3649997711182","19.4300003051758","16.0900001525879","22.4599990844727","29.4330005645752","26.1009998321533","24.5830001831055","19.2000007629395","22.0270004272461","20.5659999847412","30.80299949646","30.5109996795654","30.17799949646","32.7120018005371","37.648998260498","34.4449996948242","31.3740005493164","34.3950004577637","34.390998840332","32.7470016479492",
"Bahamas, The","BHS","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4400005340576","24.5699996948242","30.9899997711182","26.0200004577637","28.0400009155273","23.9500007629395","29.6200008392334","28.4799995422363","21.7000007629395","21.9699993133545","","16.5699996948242","","28.2199993133545","","24.0499992370605","","21.6800003051758","20.2199993133545","30.1000003814697","","30.3400001525879","32.1800003051758","","","","31.6387557983398","","",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124621","129303","133540","137465","141329","144472","146787","149288","152069","154934","157725","162237","166838","171387","176197","181385","185992","190861","195920","201091","206431","209729","213270","216502","219318","221682","224105","226333","228613",
"Bahamas, The","BHS","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9336708901389","45.9888788349845","46.0715890369927","46.1892117993671","46.3478833077429","46.561963563874","46.7813907226117","46.9823428540807","47.3278577487851","47.7390372674816","47.9423046441591","48.0260359843932","48.0436111677196","47.8589391260714","47.7635828078798","47.7878545634975","47.7735601531249","47.7305473616925","47.5602286647611","47.3273294180247","47.3499619727657","47.2776773836713","47.3184226567262","47.2120349927483","47.0681840979765","46.8346550464178","46.7432676647107","46.7686992175246","46.779054559452",
"Bahamas, The","BHS","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9860000610352","72.8130035400391","73.6169967651367","74.3759994506836","75.0250015258789","75.1309967041016","75.1360015869141","75.056999206543","74.9850006103516","74.9369964599609","74.8560028076172","74.9670028686523","75.0759963989258","75.0699996948242","75.0439987182617","75.0449981689453","75.0770034790039","75.1110000610352","75.0879974365234","75.0329971313477","75.0780029296875","74.9619979858398","74.9380035400391","74.8850021362305","74.8119964599609","74.6849975585938","74.5849990844727","74.5309982299805","74.5559997558594",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","71.5100021362305","","","","","","","72.7300033569336","","","","","","","","","36.7799987792969","67.4700012207031","","","","","","","","","51.1800003051758","71.5999984741211","73.5999984741211","74.3000030517578","75.6999969482422","73.7699966430664","73.9000015258789","73.6999969482422","74.9000015258789","69.7900009155273","76.8000030517578","","76.1999969482422","76.4000015258789","","75.6800003051758","","","","","73.4000015258789","","72.4400024414063","74.5","72.6999969482422","","","","","",
"Bahamas, The","BHS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.431999206543","80.2750015258789","81.0739974975586","81.8000030517578","82.3860015869141","82.3430023193359","82.2470016479492","82.1320037841797","81.8079986572266","81.3720016479492","81.1480026245117","81.177001953125","81.2300033569336","81.427001953125","81.4440002441406","81.3219985961914","81.3349990844727","81.4059982299805","81.6179962158203","81.8850021362305","81.8619995117188","81.8199996948242","81.697998046875","81.7760009765625","81.8960037231445","82.0940017700195","82.1139984130859","82.0039978027344","82.0110015869141",
"Bahamas, The","BHS","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","92.0199966430664","","","","","","","89.2300033569336","","","","","","","","","41.0400009155273","78.3899993896484","","","","","","","","","55.5299987792969","79.1800003051758","79.0999984741211","79.9000015258789","82.3000030517578","81.1600036621094","78.5","79.8000030517578","79.4000015258789","74.0899963378906","83.0999984741211","","81.6999969482422","81.6999969482422","","","","","","","78.4000015258789","","75.4199981689453","78.9300003051758","76.0999984741211","","","","","",
"Bahamas, The","BHS","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6207584232188","81.7763967304089","81.9757266035361","82.2298257084471","82.5285794376217","82.9068601080974","83.1726340292307","83.2903058241524","83.875657504641","84.7539719083547","85.0828079984348","85.2889352212475","85.4241001132809","84.9668971591335","84.8497165534367","85.1036636799366","85.1441564896849","85.0637583883182","84.5414034280211","83.8248734187652","83.9742452247083","83.7875831836656","83.9885901803457","83.6883628970501","83.2519258640059","82.5200402407942","82.2405430682554","82.3459858502099","82.3889471973457",
"Bahamas, The","BHS","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","57.4440366645401","","","","","","","63.8798586300522","","","","","","","","","79.8001931515776","73.3639479133961","","","","","","","","","84.7649932100722","81.5231154369399","86.5992431370412","87.4843556833211","84.4471414615769","82.5406540673244","88.5350318471338","85.4636520552613","88.7909302835742","88.8918934615603","85.3188963029386","","87.0257051773988","88.0049011157593","","","","","","","88.1377514403645","","92.8003176385496","87.507917683734","91.7214250345804","","","","","",
"Bahamas, The","BHS","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8330001831055","65.6460037231445","66.4609985351563","67.2639999389648","67.9919967651367","68.2679977416992","68.4069976806641","68.4079971313477","68.6169967651367","68.9660034179688","69.0429992675781","69.2350006103516","69.3899993896484","69.1859970092773","69.1050033569336","69.2080001831055","69.2519989013672","69.2470016479492","69.0009994506836","68.6399993896484","68.7429962158203","68.5550003051758","68.6169967651367","68.4369964599609","68.1800003051758","67.7440032958984","67.5309982299805","67.5270004272461","67.568000793457",
"Bahamas, The","BHS","Labor force participation rate, female (% of female population ages 15+) (national estimate)","SL.TLF.CACT.FE.NE.ZS","","","","52.8600006103516","","","","","","","57","","","","","","","","","32.75","57.5099983215332","","","","","","","","","47.0699996948242","64.5500030517578","68.5","69.9000015258789","69.5","66.9899978637695","69.5","68.1999969482422","70.5","65.8600006103516","70.9000015258789","","71.0999984741211","71.9000015258789","","","","","","","69.0999984741211","","69.9899978637695","69.0699996948242","69.8000030517578","","","","","",
"Bahamas, The","BHS","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with basic education, male (% of male working-age population with basic education)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with advanced education, male (% of male working-age population with advanced education)","SL.TLF.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force with advanced education, female (% of female working-age population with advanced education)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.2529983520508","76.2399978637695","77.2149963378906","78.1520004272461","78.9759979248047","79.1439971923828","79.2440032958984","79.2580032348633","79.2730026245117","79.3199996948242","79.3450012207031","79.5739974975586","79.802001953125","79.9029998779297","79.9759979248047","80.0869979858398","80.2180023193359","80.3499984741211","80.4169998168945","80.4449996948242","80.5719985961914","80.6019973754883","80.7440032958984","80.8769989013672","81.0120010375977","81.109001159668","81.254997253418","81.463996887207","81.8160018920898",
"Bahamas, The","BHS","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9140014648438","82.9629974365234","83.9729995727539","84.9130020141602","85.7020034790039","85.7020034790039","85.6920013427734","85.6500015258789","85.3860015869141","85.0199966430664","84.8870010375977","85.0070037841797","85.1569976806641","85.4380035400391","85.5279998779297","85.4850006103516","85.5739974975586","85.7190017700195","85.9960021972656","86.3130035400391","86.3410034179688","86.4589996337891","86.5120010375977","86.7770004272461","87.1039962768555","87.5260009765625","87.7959976196289","87.9580001831055","88.245002746582",
"Bahamas, The","BHS","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7259979248047","69.6569976806641","70.6019973754883","71.5469970703125","72.4199981689453","72.7750015258789","73.0149993896484","73.120002746582","73.4400024414063","73.9089965820313","74.1039962768555","74.4380035400391","74.7330017089844","74.6520004272461","74.693000793457","74.9349975585938","75.0979995727539","75.2099990844727","75.0709991455078","74.8140029907227","75.0279998779297","74.9710006713867","75.1949996948242","75.1969985961914","75.1429977416992","74.9209976196289","74.9420013427734","75.1900024414063","75.5970001220703",
"Bahamas, The","BHS","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8240013122559","58.0750007629395","58.5099983215332","59.0009994506836","59.2770004272461","58.9640007019043","58.2610015869141","57.2789993286133","55.939998626709","54.5909996032715","53.7439994812012","54.193000793457","54.648998260498","54.9119987487793","54.6349983215332","54.0929985046387","54.3059997558594","54.617000579834","54.9010009765625","55.0410003662109","54.8269996643066","54.814998626709","54.8409996032715","55.1290016174316","55.3950004577637","55.6080017089844","55.4910011291504","55.1609992980957","55.4930000305176",
"Bahamas, The","BHS","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","","","","70.9499969482422","","","","","","","65.8899993896484","","","","","","","","","","57.939998626709","","","","","","","","","","57.7299995422363","","","","57.7700004577637","","","","54.8400001525879","","","","","","","","","","","","","","","","","","","","",
