"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bolivia","BOL","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","21.16","","","","13.71","","18.45","","","",
"Bolivia","BOL","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","6.6","","","17.3","21.33","","","","10.48","","15.78","","","",
"Bolivia","BOL","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6","","","14.3","","","21.3","20.94","","","","16.75","","21.8","","","",
"Bolivia","BOL","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14","","","","0.98","","1.86","","","",
"Bolivia","BOL","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.53","","","","1.03","","2.23","","","",
"Bolivia","BOL","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66","","","","0.93","","1.39","","","",
"Bolivia","BOL","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.52","","","","6.55","","7","","","",
"Bolivia","BOL","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","5.4","","","6","5.18","","","","5.77","","8.83","","","",
"Bolivia","BOL","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","","3","","","6.2","5.94","","","","7.28","","4.73","","","",
"Bolivia","BOL","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5899963378906","94.0599975585938","76.9199981689453","79.6800003051758","77.6999969482422","","76.5899963378906","75.6399993896484","72.6800003051758","78.8099975585938","78.2200012207031","75.129997253418","77.3300018310547","",
"Bolivia","BOL","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.4199981689453","92.870002746582","73.9300003051758","77.4100036621094","76.2300033569336","","74.4599990844727","74.0400009155273","70.8300018310547","78.1999969482422","76.8499984741211","73.379997253418","75.6600036621094","",
"Bolivia","BOL","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.0699996948242","95.5199966430664","80.8099975585938","82.4499969482422","79.5599975585938","","79.3300018310547","77.6600036621094","75.0199966430664","79.5999984741211","80.1500015258789","77.4400024414063","79.4400024414063","",
"Bolivia","BOL","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9200000762939","18.8530006408691","18.8700008392334","18.9080009460449","18.9750003814697","18.9790000915527","18.9699993133545","19.0359992980957","18.9099998474121","18.6189994812012","15.6920003890991","17.75","20.5139999389648","20.5139999389648","20.0799999237061","18.0629997253418","20.2660007476807","20.0960006713867","20.7049999237061","20.7360000610352","20.9389991760254","20.5979995727539","19.8330001831055","20.6299991607666","22.5279998779297","21.0069999694824","21.6299991607666","21.6840000152588",
"Bolivia","BOL","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6860008239746","23.6620006561279","23.7919998168945","23.9419994354248","24.1350002288818","24.2369995117188","24.3549995422363","24.5709991455078","24.4409999847412","25.0729999542236","20.5809993743896","22.9190006256104","27.632999420166","27.6809997558594","26.8899993896484","23.8740005493164","28.4139995574951","27.0400009155273","28.4179992675781","28.3999996185303","28.6429996490479","27.6879997253418","27.0690002441406","28.7590007781982","30.4099998474121","28.9850006103516","29.9449996948242","30.07200050354",
"Bolivia","BOL","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8500003814697","11.7810001373291","11.6990003585815","11.6339998245239","11.58899974823","11.5100002288818","11.3760004043579","11.2729997634888","11.2080001831055","9.6899995803833","8.98499965667725","10.7170000076294","10.9060001373291","10.9160003662109","11.0279998779297","10.4060001373291","9.32800006866455","10.9130001068115","10.5830001831055","10.625","10.7159996032715","10.7930002212524","10.0220003128052","9.68299961090088","10.9980001449585","10.2390003204346","10.0069999694824","9.9379997253418",
"Bolivia","BOL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9715.4306640625","9635.7900390625","9797.34765625","9977.958984375","10145.0283203125","10296.9833984375","10496.1240234375","10728.2548828125","10522.1162109375","10519.1083984375","10388.8359375","10339.6845703125","10315.1767578125","10431.849609375","10562.1083984375","10731.0234375","11119.8203125","11468.384765625","11620.7119140625","11806.912109375","12128.177734375","12967.6181640625","13510.2060546875","13491.5419921875","14876.806640625","14417.7939453125","15333.2802734375","15584.7802734375",
"Bolivia","BOL","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1760005950928","27.9029998779297","27.5620002746582","27.2350006103516","26.94700050354","26.617000579834","26.2250003814697","25.8649997711182","25.742000579834","24.4169998168945","28.8500003814697","26.9619998931885","25.1550006866455","23.3330001831055","25.1580009460449","26.3719997406006","23.3810005187988","19.2889995574951","17.7320003509521","18.0709991455078","18.3460006713867","14.418999671936","15.6829996109009","17.7199993133545","14.4460000991821","15.6359996795654","14.7609996795654","14.5",
"Bolivia","BOL","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1439990997314","18.8199996948242","18.5200004577637","18.1989994049072","17.8969993591309","17.5729999542236","17.2169990539551","16.8850002288818","16.6959991455078","15.0500001907349","20.5090007781982","18.3999996185303","16.8980007171631","15.3909997940063","16.4309997558594","17.1000003814697","15.3360004425049","10.2069997787476","8.52400016784668","8.60999965667725","8.65200042724609","7.78599977493286","7.51900005340576","8.68200016021729","6.99399995803833","7.86199998855591","7.20800018310547","7.05700016021729",
"Bolivia","BOL","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5750007629395","41.2610015869141","40.7360000610352","40.2900009155273","39.9039993286133","39.4650001525879","38.9290008544922","38.4630012512207","38.3359985351563","37.3740005493164","40.2919998168945","38.6110000610352","36.2980003356934","33.9700012207031","36.757999420166","38.5900001525879","34.1809997558594","31.2980003356934","29.8139991760254","30.5540008544922","31.2099990844727","23.5909996032715","26.7530002593994","29.8899993896484","25.3449993133545","26.1299991607666","25.3209991455078","24.923999786377",
"Bolivia","BOL","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.91","","","","92.7","","90","","","",
"Bolivia","BOL","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.01","","","","91.34","","87.95","","","",
"Bolivia","BOL","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.27","","","","94.01","","92.57","","","",
