"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central African Republic","CAF","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.02","","62.02","","","","61.95","61.95","61.36","61.36","61.36","61.36","60.9","60.9","60.9","60.9","60.9","60.9","61.05","","61.05","61.05","","",
"Central African Republic","CAF","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","52.54979184","73.0051326","83.06607378","47.02713845","67.00307981","72.51168337","91.52193945","110.4776202","85.49268785","90.56673695","71.7512651299999","60.11117293","92.0258800799999","82.5740798199999","112.2778925","116.2665674","92.9344709899999","109.2278354","109.784094","100.0235991","100","92.86977424","104.2179694","97.06056669","117.3452181","122.1185602","133.835128","151.6625674","159.441368","153.1438553","152.9106234","126.2054557","133.1947403","89.32002498","172.4254684","162.867486","148.4330261","165.987723","",
"Central African Republic","CAF","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","30.3150269076513","29.2363028272135","31.3296423261429","37.1002741425798","41.5419617280458","35.1984490514905","41.7906556701031","44.5609570719603","39.6313374189213","39.3534983208095","33.8433536383844","32.2659479170641","31.6953208813237","32.8191589672965","33.4045646393564","30.6343408379648","25.7119295271495","28.5827985731027","21.1275036674001","21.4051819035948","24.7162018960397","25.0430516424052","30.735831149871","23.8355717840447","27.1236135040945","23.7035388436346","20.761584342604","27.8103474796505","26.1680895983522","23.0158871438951","19.018382225848","15.8272071997879","17.8480675794639","18.3768737072049","34.0705755264762","31.020547360102","28.5773485562655","32.4183168137745","30.7028042888959","27.7144805198972","30.3991152626733","26.7215176002398","26.931941376934","21.5835897493606","22.4395269396199","22.656536611021","24.7165265093039","25.1536619439593","22.6672732998898","18.940368475618","20.5559142077193","20.5356315976381","20.9539190565256","19.3458005327443","26.5120455445608","25.2746695577683","28.134430398261","23.4371218309396","25.087018467981",
"Central African Republic","CAF","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43000000","44000000","51000000","44000000","33000000","33000000","29000000","29000000","31000000","32000000","46000000","47000000","54000000","56000000","61000000","67000000","68000000","69000000","69800000","","","","","",
"Central African Republic","CAF","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31000000","44000000","44000000","48000000","49000000","52000000","49000000","50000000","50000000","50400000","","","","","",
"Central African Republic","CAF","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6400000","5000000","8000000","8400000","9000000","4500000","11000000","11000000","11000000","11600000","","","","","",
"Central African Republic","CAF","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","2000000","3000000","6000000","7000000","9000000","18000000","18000000","19000000","19400000","","","","","",
"Central African Republic","CAF","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400000","2200000","2200000","2400000","2800000","3000000","3400000","4000000","4000000","4000000","","","","","",
"Central African Republic","CAF","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
