"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cameroon","CMR","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.426407","","","","","1.9447","","","","","","2.051459","","","","","","","1.864918","","","","",
"Cameroon","CMR","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32574","","","","","0.965","","","","","","1.11482","","","","","","","0.60743","","","","",
"Cameroon","CMR","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","611000","","","","","305000","","","","","","377000","","","","","","","415000","","","","",
"Cameroon","CMR","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0441891","","","","","0.018335","","","","","","0.0211816","","","","","","","0.0115411","","","","",
"Cameroon","CMR","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309","317","321","321","318","311","303","292","282","271","260","251","242","235","220","212","203","194","",
"Cameroon","CMR","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","23","21","31","33","40","43","45","46","47","46","48","49","50","53","54","54","52","",
"Cameroon","CMR","Tuberculosis treatment success rate (% of new cases)","SH.TBS.CURE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","62","71","","71","74","74","74","75","77","78","79","79","82","84","84","84","","",
"Cameroon","CMR","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","","","","1.8","","","","","","2.3","","2.5","","","","","1.9","","","1.3","","","","",
"Cameroon","CMR","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.899999976158142","","","","","","","2.5","","","","","","2.5","","3.29999995231628","","","","","2.5","","","","","","","",
"Cameroon","CMR","Prevalence of severe wasting, weight for height, female (% of children under 5)","SH.SVR.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29999995231628","","","","","","","2.79999995231628","","","","","","2.09999990463257","","1.70000004768372","","","","","1.29999995231628","","","","","","","",
"Cameroon","CMR","Prevalence of wasting, weight for height (% of children under 5)","SH.STA.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","6.2","","","","","","6.2","","7.3","","","","","5.8","","","5.2","","","","",
"Cameroon","CMR","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.80000019073486","","","","","","","8.69999980926514","","","","","","5.80000019073486","","8.19999980926514","","","","","6.59999990463257","","","","","","","",
"Cameroon","CMR","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30000019073486","","","","","","","8.39999961853027","","","","","","6.69999980926514","","6.40000009536743","","","","","4.90000009536743","","","","","","","",
"Cameroon","CMR","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","SH.STA.WASH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2","","",
"Cameroon","CMR","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","","","30.1","","",
"Cameroon","CMR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","11.9","","","","","11.7","","","","","12.3","12.2","","",
"Cameroon","CMR","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","","","","","16.4","","","","","16.4","","","","","17.3","17.1","","",
"Cameroon","CMR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","","","7.3","","","","","6.9","","","","","7.3","7.4","","",
"Cameroon","CMR","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","","","","","","38.2","","","","","","35.4","","36.4","","","","","32.6","","","31.7","","","","",
"Cameroon","CMR","Prevalence of stunting, height for age, male (% of children under 5)","SH.STA.STNT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7999992370605","","","","","","","40.2999992370605","","","","","","36.9000015258789","","39.0999984741211","","","","","35.2999992370605","","","","","","","",
"Cameroon","CMR","Prevalence of stunting, height for age, female (% of children under 5)","SH.STA.STNT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7999992370605","","","","","","","33.2000007629395","","","","","","33.9000015258789","","33.7000007629395","","","","","30.1000003814697","","","","","","","",
"Cameroon","CMR","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","People using safely managed sanitation services, rural (% of rural population)","SH.STA.SMSS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","SH.STA.POIS.P5.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","4.2","","","","","4.4","","","","","4.2","4","","",
"Cameroon","CMR","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","SH.STA.POIS.P5.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","","","2.3","","","","","2.3","","","","","2.3","2.2","","",
"Cameroon","CMR","Mortality rate attributed to unintentional poisoning (per 100,000 population)","SH.STA.POIS.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","","","3.3","","","","","3.4","","","","","3.3","3.1","","",
"Cameroon","CMR","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","","","","","8.2","","","","","","8.7","","9.6","","","","","6.5","","","6.7","","","","",
"Cameroon","CMR","Prevalence of overweight, weight for height, male (% of children under 5)","SH.STA.OWGH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","8.19999980926514","","","","","","10.3000001907349","","9.80000019073486","","","","","7.90000009536743","","","","","","","",
"Cameroon","CMR","Prevalence of overweight, weight for height, female (% of children under 5)","SH.STA.OWGH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29999995231628","","","","","","","8.30000019073486","","","","","","7.09999990463257","","9.5","","","","","5.09999990463257","","","","","","","",
"Cameroon","CMR","Diarrhea treatment (% of children under 5 who received ORS packet)","SH.STA.ORTH","","","","","","","","","","","","","","","","","","","","","","","","","","","1","22","","84","","18","","","","","","","21.9","","14.1","","","","16.8","","12.757292","","","","","17.2","","","15.8","","","","",
"Cameroon","CMR","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","SH.STA.ORCF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","43.4","","22","","","","","46.5","","","39.3","","","","",
"Cameroon","CMR","People practicing open defecation (% of population)","SH.STA.ODFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.40583722897713","7.3873415562625","7.36801186845245","7.34796614156832","7.32708143228767","7.30572060981647","7.28364027116045","7.26145364274145","7.2389198052157","7.21641354931186","7.19369345895602","7.17101386520494","7.14838221901029","7.12580597132372","7.10316615266366","7.08084947528141","","","",
"Cameroon","CMR","People practicing open defecation, urban (% of urban population)","SH.STA.ODFC.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.899946273760975","0.92601754894617","0.952088824131366","0.978160099316561","1.00423137450176","1.03030264968695","1.05637392487215","1.08244520005734","1.10851647524254","1.13458775042773","1.16065902561293","1.18673030079812","1.21280157598332","1.23887285116852","1.26494412635371","1.29101540153891","","","",
"Cameroon","CMR","People practicing open defecation, rural (% of rural population)","SH.STA.ODFC.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8465674409286","12.9223117271388","12.998056013349","13.0738002995592","13.1495445857694","13.2252888719795","13.3010331581897","13.3767774443999","13.45252173061","13.5282660168202","13.6040103030304","13.6797545892406","13.7554988754507","13.8312431616609","13.9069874478711","13.9827317340813","","","",
"Cameroon","CMR","Maternal mortality ratio (national estimate, per 100,000 live births)","SH.STA.MMRT.NE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","511","","","","","","689","","","","","","","782","","","","","","","",
"Cameroon","CMR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","728","732","740","743","749","749","753","751","749","750","750","751","742","732","723","729","725","710","707","696","676","652","632","619","609","596","","","",
"Cameroon","CMR","Prevalence of underweight, weight for age (% of children under 5)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","17.3","","","","","","15.1","","16.6","","","","","15.1","","","14.8","","","","",
"Cameroon","CMR","Prevalence of underweight, weight for age, male (% of children under 5)","SH.STA.MALN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6000003814697","","","","","","","20.1000003814697","","","","","","15.3000001907349","","18.8999996185303","","","","","15.8000001907349","","","","","","","",
"Cameroon","CMR","Prevalence of underweight, weight for age, female (% of children under 5)","SH.STA.MALN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2999992370605","","","","","","","15.6999998092651","","","","","","15","","14.3000001907349","","","","","14.5","","","","","","","",
"Cameroon","CMR","People with basic handwashing facilities including soap and water (% of population)","SH.STA.HYGN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5731","2.59525","2.61721","2.63898","2.6606","2.68195","","","",
