"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Algeria","DZA","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00595528003537","1.36760588193583","0.612825408414339","0.923680458074455","0.790085712929616","0.9408871849014","0.781035003902355","0.703257524848594","0.760465402653666","1.39222203614895","1.25200313981521","1.47520103960511","1.35936601175656","","","",
"Algeria","DZA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48891937632268","2.32945415475284","","","",
"Algeria","DZA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.441421662343489","0.369843863573414","","","",
"Algeria","DZA","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","",
"Algeria","DZA","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000","2500","","","","340","4500","19000","2000","","19",
"Algeria","DZA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2800","","",
"Algeria","DZA","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","257","800","1916","3008","1084","1403","3029","1016","931","642","538","670","397","217","255","472","339","505","236","267","256","147","107","110","86","60","",
"Algeria","DZA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","38.6976744186046","31.8652849740932","23.6997635933805","25.6859311150029","34.240837696335","29.2608695652174","23.4385061171925","23.6953455571228","17.9197506817297","19.9918233851185","19.0532081377152","18.9505473763684","13.4971018492961","13.3845437616387","22.2880254225047","","","","","","","","","","","","","","7.46147607461475","8.75796178343948","7.843573626762","9.45109996499554","8.96920074885477","6.39282697357108","5.9365542393715","6.08294437904006","6.74371549893263","7.41471167367757","9.16903450150878","6.64263443483275","4.82084914372753","",
"Algeria","DZA","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","37.4232558139535","43.3851468048357","47.6063829787234","43.7186223000584","43.1884816753926","42.0260869565217","48.9343206696716","44.1678420310296","45.3525516166733","45.3679476696647","46.8231611893583","47.3386183465458","46.1302787744962","41.5782122905028","45.1812797919976","","","","","","","","","","","","","","34.5093268450933","33.1210191082802","35.1098229743818","29.0876651336325","28.2583509297714","22.0534449952876","19.8936842559771","20.6682564123751","21.2568150132315","24.1579755440204","20.0503631095542","21.4119333069173","24.3349455381175","",
"Algeria","DZA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26702112316594","1.62105004254718","0.816186620836953","0.482299465028591","0.367838705149729","1.17093685127351","0.892256190246932","4.44239654128505","4.16683343230625","0.615530031793836","1.05863088716642","2.28679011860615","1.04603270347987","1.4846161183203","1.62156078886042","0.716136565964244","0.656696365435629","0.625863297717341","0.504620348567318","0.161139885472764","0.130478689319292","0.192235191396927","0.156630406424722","0.151223544674168","0.343523928820444","0.544881567171086","",
