"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Eritrea","ERI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.10799980163574","7.24499988555908","7.29199981689453","7.39599990844727","7.48999977111816","7.24100017547607","7.25","7.24300003051758","7.21999979019165","7.44299983978271","7.14900016784668","7.51300001144409","7.4229998588562","7.39300012588501","7.25699996948242","7.06300020217896","6.76399993896484","6.47499990463257","7.26999998092651","7.30700016021729","7.33300018310547","7.3289999961853","7.36199998855591","7.25699996948242","7.19000005722046","7.05299997329712","6.84499979019165","6.92700004577637",
"Eritrea","ERI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5959997177124","11.7790002822876","11.2720003128052","11.4930000305176","11.5279998779297","11.210000038147","10.9230003356934","10.9139995574951","10.6750001907349","11.2740001678467","10.6520004272461","11.1510000228882","11.1709995269775","11.2799997329712","11.0740003585815","11.003999710083","10.6120004653931","10.3400001525879","11.4709997177124","11.7040004730225","11.7620000839233","11.9209995269775","12.0729999542236","12.0080003738403","11.956000328064","11.8030004501343","11.4910001754761","11.5679998397827",
"Eritrea","ERI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2360000610352","11.4060001373291","10.6120004653931","10.9010000228882","10.9930000305176","10.668999671936","10.2629995346069","10.2729997634888","9.88500022888184","10.6999998092651","9.9040002822876","10.4519996643066","10.5059995651245","10.6800003051758","10.4540004730225","10.5150003433228","10.1630001068115","9.9370002746582","10.9700002670288","11.2370004653931","11.2670001983643","11.4490003585815","11.58899974823","11.5389995574951","11.4919996261597","11.3509998321533","11.0640001296997","11.1059999465942",
"Eritrea","ERI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0159997940063","12.2119998931885","12.0380001068115","12.1780004501343","12.1459999084473","11.835000038147","11.6870002746582","11.6549997329712","11.5869998931885","11.9379997253418","11.5150003433228","11.956000328064","11.9359998703003","11.9689998626709","11.7829999923706","11.5629997253418","11.1260004043579","10.8020000457764","12.0459995269775","12.2419996261597","12.3319997787476","12.4670000076294","12.6350002288818","12.5530004501343","12.4989995956421","12.331000328064","11.9910001754761","12.1079998016357",
"Eritrea","ERI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1008707","999792","984246","964391","944226","927837","932262","939951","953704","976458","1010043","1059239","1119993","1187759","1255179","1317283","1362029","1400078","1432709","1458568","1480330","1498923","","","","","","","",
"Eritrea","ERI","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2340471514523","44.9935586602013","44.7730547038037","44.6259867626305","44.5259927178451","44.394435660574","44.6179292945545","44.8446780736443","45.054440371436","45.2561195668426","45.4363824114419","45.7458609435642","46.0097518466633","46.2285699371674","46.438157426152","46.6273382409095","46.6281554944865","46.6283307072892","46.5725419467596","46.5477098085245","46.5033472266319","46.485910216869","","","","","","","",
"Eritrea","ERI","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
