"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Fiji","FJI","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.57","51.57","","51.57","49.59","49.59","49.59","49.59","49.59","49.8","49.8","","49.8","","","",
"Fiji","FJI","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","53.02431677","55.14520873","48.02257631","54.06922466","50.53541168","53.50830417","56.02104165","43.76517144","55.99420678","","","","","","","","","","","","100","109.4805628","112.8948823","140.9966902","154.097597","147.8771358","152.5847572","138.7630741","148.5999877","109.7736842","124.6245836","128.3802057","133.1744873","167.7059196","194.5957346","145.8148637","170.0882582","168.6037889","",
"Fiji","FJI","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","77.4514573991031","70.9475780409042","74.8536885245902","88.061673151751","102.118974820144","91.7838184931507","80.3431913116124","82.3977064220183","88.0487654320988","88.3731324544884","86.8661626694473","87.1848985370458","80.2146192116342","80.7581197877269","82.8872888888889","68.8326513455456","62.7742403083755","73.7978520517431","73.0790088293933","76.8820464679653","85.8163987174546","83.4209998106419","74.2033953112369","70.3405646698858","66.3838469379754","65.63208507406","59.7568516111377","64.4362612612613","80.4521227009322","90.894749352868","93.5659545454545","79.6332615083252","70.0481692220823","71.540987507436","77.4673477024398","76.6869717420333","81.4834504685408","75.7881611590751","74.4816113254549","77.8510234491412","84.0206527791261","85.7176067348452","76.8441171259388","80.8744369442469","78.4232573194803","76.7612597976702","80.5094475139562","75.0355953955689","90.4295167142205","72.1097413528406","84.3493885346751","86.129914710793","87.461958851061","93.8870059172757","95.1829313948454","63.5551565319048","65.8041600035434","64.0566469054141","68.0718431727236",
"Fiji","FJI","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06873442033425","7.02408281667708","7.10486056114946","6.93207918901562","7.8612436115843","8.71708568391377","7.91250858755423","7.33129869912476","6.06883984935859","6.7430900067109","6.96542937518019","5.4014532384977","5.06170735394809","4.25829192905016","6.24992640910508","5.08179232804668","4.70924643357727","4.31535163957062","3.61202441145244","3.4849028464711","4.69954546372206","4.7526480408209","5.05697998067035","",
"Fiji","FJI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000000","88000000","87000000","67000000","82000000","96000000","84000000","79000000","88000000","118000000","132000000","113000000","106000000","111000000","107000000","102000000","116000000","110000000","105000000","99000000","115000000","119000000","138000000","",
"Fiji","FJI","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64000000","70000000","69000000","52000000","66000000","83000000","65000000","55000000","70000000","94000000","106000000","101000000","92000000","96000000","94000000","88000000","98000000","91000000","91000000","89000000","104000000","109000000","128000000","",
"Fiji","FJI","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291000000","298000000","317000000","248000000","280000000","189000000","205000000","260000000","345000000","423000000","485000000","480000000","499000000","658000000","503000000","635000000","724000000","730000000","717000000","752000000","761000000","778000000","886000000","",
"Fiji","FJI","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","18000000","18000000","15000000","16000000","13000000","19000000","24000000","18000000","24000000","26000000","12000000","14000000","15000000","13000000","14000000","18000000","19000000","14000000","10000000","11000000","10000000","10000000","",
"Fiji","FJI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78000000","76000000","69000000","61000000","85000000","102000000","111000000","124000000","151000000","165000000","237000000","204000000","223000000","294000000","185000000","190000000","231000000","259000000","249000000","282000000","277000000","271000000","302000000","",
"Fiji","FJI","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0487500820157","29.1105552165955","32.070588743094","33.149370950324","34.3418899875801","30.0527820492023","34.5379856754115","39.1253466440318","38.4310680433503","41.9303056887733","44.8238948100202","44.3521895241622","43.8101798173936","47.2002204802172","48.4137545977325","45.6477539797059","42.6033646091902","40.738135105699","40.6270678362015","40.8798797501123","45.774820455743","45.6347336768889","48.4535571437816","",
"Fiji","FJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369000000","374000000","386000000","309000000","365000000","291000000","316000000","384000000","496000000","588000000","722000000","684000000","722000000","952000000","688000000","825000000","955000000","989000000","966000000","1034000000","1038000000","1049000000","1188000000","",
"Fiji","FJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68000","72000","74000","78000","89000","83000","85000","99000","104000","94000","109000","121000","120000","124000","125000","128000","132000","132000","","","","156000","169000","",
"Fiji","FJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318000","340000","359000","371000","410000","294000","348000","398000","431000","504000","545000","549000","540000","585000","542000","632000","675000","661000","659000","693000","755000","792000","843000","",
"Fiji","FJI","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","29.681","30.248","30.823","31.403","31.991","32.582","33.18","33.604","33.987","34.371","34.758","35.147","35.538","35.93","36.324","36.721","37.119","37.319","37.469","37.619","37.769","37.919","38.07","38.221","38.372","38.523","38.675","39.327","40.085","40.845","41.611","42.381","43.156","43.933","44.713","45.496","46.282","46.732","47.123","47.515","47.908","48.3","48.692","49.085","49.479","49.871","50.264","50.657","51.146","51.658","52.171","52.683","53.196","53.706","54.216","54.726","55.235","55.742","56.248",
"Fiji","FJI","Urban population","SP.URB.TOTL","116789","123185","129970","137009","144133","151170","158071","163981","169575","175190","180937","186854","192916","199102","205381","211743","218095","223278","228330","233834","239949","246861","254414","262004","268789","274197","277934","283856","289786","295960","303167","311670","321283","331678","342327","352787","363030","370461","377058","383115","388537","393126","396965","400571","404669","409742","416121","423589","432368","440972","448576","454891","460182","464883","469756","475365","481870","489113","496942",
"Fiji","FJI","Urban population growth (annual %)","SP.URB.GROW","5.25428405131104","5.3318402563237","5.3616364153359","5.27429625075659","5.06898673197559","4.76685469397977","4.46392678198047","3.67062682736874","3.35447393780348","3.25757924155875","3.22778051306188","3.21786588701652","3.19272977543064","3.15623952202922","3.1049534558456","3.05064843529321","2.95574725466537","2.3486884143842","2.23743191224128","2.38195109564314","2.58149388568258","2.83990244259514","3.01374362117148","2.93969094217938","2.55669143724664","1.99201409567308","1.35368492831377","2.10833918858306","2.06756522226194","2.1081590516438","2.40594987373354","2.76611269558645","3.03774189185665","3.18422640918276","3.16018018415133","3.00980547787095","2.86210000969038","2.0262700559621","1.76508457310591","1.5936183439159","1.40531981601706","1.17417678035797","0.971794442003416","0.904291360675783","1.01784197988607","1.24582443359672","1.54483900194632","1.77875621430964","2.05134319802512","1.97043038915564","1.70967395102121","1.39797089343448","1.15642335951671","1.01636976169217","1.04276499391741","1.18695190395046","1.35914381258996","1.49191784948221","1.58797724617295",
"Fiji","FJI","Rural population (% of total population)","SP.RUR.TOTL.ZS","70.319","69.752","69.177","68.597","68.009","67.418","66.82","66.396","66.013","65.629","65.242","64.853","64.462","64.07","63.676","63.279","62.881","62.681","62.531","62.381","62.231","62.081","61.93","61.779","61.628","61.477","61.325","60.673","59.915","59.155","58.389","57.619","56.844","56.067","55.287","54.504","53.718","53.268","52.877","52.485","52.092","51.7","51.308","50.915","50.521","50.129","49.736","49.343","48.854","48.342","47.829","47.317","46.804","46.294","45.784","45.274","44.765","44.258","43.752",
"Fiji","FJI","Rural population growth (annual %)","SP.RUR.TOTL.ZG","2.54241987123086","2.62945906902493","2.65091709426769","2.56842195323066","2.35278554423011","2.0636803985629","1.75403899028309","1.76455111006759","1.64230425110977","1.55121739017277","1.51633355413569","1.50673651163699","1.48179861727775","1.44917737489717","1.39792786503738","1.33782828158077","1.24711391709335","1.49261313967023","1.59644482452352","1.7424907970942","1.94283025121838","2.20191556153176","2.37314107726786","2.29947350950802","1.9180018894308","1.35379716967527","0.71207417492019","-0.632348755080025","-1.09819935934517","-1.04668282879248","-0.755940089894418","-0.394518710772097","-0.128702121985796","0.0233912326474083","-0.000708744848309503","-0.152260290433257","-0.303793862509044","0.217867850639318","0.194943364937492","0.0210330538760773","-0.170045343029508","-0.396078632942842","-0.597553175943673","-0.668510531794146","-0.558469212892178","-0.322161400407377","-0.0274401387813053","0.206708389245178","0.0949619375765895","-0.0794517868789306","-0.345427679322878","-0.654796191725198","-0.902587125590783","-1.03326093177292","-1.01026414099705","-0.869670868955252","-0.697382612569329","-0.560553546124236","-0.465875221713094",
"Fiji","FJI","Rural population","SP.RUR.TOTL","276692","284064","291695","299284","306409","312798","318333","324000","329365","334514","339625","344781","349928","355036","360034","364883","369462","375018","381053","387751","395358","404160","413866","423493","431694","437578","440705","437927","433144","428634","425406","423731","423186","423285","423282","422638","421356","422275","423099","423188","422469","420799","418292","415505","413191","411862","411749","412601","412993","412665","411242","408558","404887","400725","396697","393262","390529","388346","386541",
"Fiji","FJI","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4","","","","","","","","","","","","100","","100","100","","","","","","",
"Fiji","FJI","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
