"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Guinea-Bissau","GNB","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.6","","","","","","","","51","","","","","","","","",
"Guinea-Bissau","GNB","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","66.4","","","","","","","","","61.1","","","","","","","","66.4","","","","","","","","",
"Guinea-Bissau","GNB","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2","","95.3","","","","","","","","","95.8","","","","","","","","93.4","","","","","","","","",
"Guinea-Bissau","GNB","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7","","","","","","","","75.6","","","","","","","","",
"Guinea-Bissau","GNB","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.7","","","","","","","","69.3","","","","","","","","",
"Guinea-Bissau","GNB","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.1","","48.2","","","","","","","","","39.7","","","","","","","","49.6","","","","","","","","",
"Guinea-Bissau","GNB","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3","","86.1","","","","","","","","","82.6","","","","","","","","84.5","","","","","","","","",
"Guinea-Bissau","GNB","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.6","","","","","","","","","35.6","","","","","","","","50.7","","","","","","","","",
"Guinea-Bissau","GNB","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","","28.4","","","","","","","","","18.6","","","","","","","","30.5","","","","","","","","",
"Guinea-Bissau","GNB","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","64","","","","","","","","","53.9","","","","","","","","67.1","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","","","7.2","","","","","","","","4.5","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","","2.9","","","","","","","","1.6","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","","","","","","","","","28.1","","","","","","","","42","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7","","","","","","","","","43.2","","","","","","","","56.7","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","22","","","","","","","","18.3","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","","","","","","","","15.8","","","","","","","","12.2","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","","","","11.8","","","","","","","","8.3","","","","","","","","",
"Guinea-Bissau","GNB","Domestic private health expenditure per capita, PPP (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.53850362","28.14362138","26.48564204","25.96467914","29.32334068","31.37134995","34.46745039","34.83904398","37.77988493","38.31105799","38.93178513","34.11929788","35.04844344","35.12783043","34.12101601","34.00067619","34.68257994","","",
"Guinea-Bissau","GNB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13896362","7.86247336","7.80205406","8.5423168","10.18634523","11.18778301","11.7563897","13.18225796","16.87546529","15.71055823","15.48446649","15.9136972","14.70967561","14.85310325","14.14129005","12.91153402","13.82537398","","",
"Guinea-Bissau","GNB","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2767387","42.58407946","47.41005369","41.24511897","37.66029053","41.21740733","43.59550799","38.53820187","41.47690352","43.2837116","44.69616627","42.58477839","50.20057539","50.30951909","34.13285198","33.85702596","35.40050221","","",
"Guinea-Bissau","GNB","Out-of-pocket expenditure per capita, PPP (current international $)","SH.XPD.OOPC.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.53850362","28.14362138","26.48564204","25.96467914","29.32334068","31.37134995","34.46745039","34.83904398","37.77988493","38.31105799","38.93178513","34.11929788","35.04844344","35.12783043","34.12101601","34.00067619","34.68257994","","",
