"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Equatorial Guinea","GNQ","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29260786687134","","","","","2.88722467738081","","","","","2.59242899914205","","","","","2.30523380719064","","","",
"Equatorial Guinea","GNQ","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.436808335653","","","",
"Equatorial Guinea","GNQ","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.912956543237736","","","",
"Equatorial Guinea","GNQ","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","6109073.66920415","5868760.96465773","5839973.45207204","4506642.2625519","5841756.96709657","8149100.17568907","8991301.05572385","3364524.85833876","4181121.06881137","4879265.25668214","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","1.248301708","1.02917871","1.053615881","1.214135262","1.361834247","1.516226099","2.223855419","3.829705751","4.506086497","3.694407718","5.692082539","3.405474656","4.583774813","5.171607291","5.652937475","11.62078396","21.12579763","45.16800365","40.01823154","64.6308113","100","158.1586144","192.9808569","255.3327256","419.2199635","643.9380128","748.1312671","930.7201459","1387.218323","829.5350957","911.5770283","1230.628988","1412.944394","1340.018232","1166.818596","592.5250684","446.6727438","474.0200547","",
"Equatorial Guinea","GNQ","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","0.894306135948738","19.4650979095674","0.015330369460371","16.2125874939309","2.54478586061499","0.103873730080607","0.0152718387291008","0.0658438165807147","0.00864054542728501","0.0767884889305582","0.0440360235368476","16.1980692451123","24.0917420189392","13.2055134691465","26.5770246181416","21.135821963942","8.78018585684272","2.54758847773784","2.03132774931891","1.88142158477732","2.57621359575569","0.210999618459482","0.172220356053651","0.864852056199718","1.56674666940497","2.31360652591852","2.50171355502063","1.20556277323362","4.17360989386891","4.57326738007565","4.6599098440934","2.03303241427965","5.56127982019438","4.77129478613676","8.28646691978127","9.2381995079261","7.46612350137885","",
"Equatorial Guinea","GNQ","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","26328181.82","33379090.91","29650000","36499298.96","26632279.95","35882727.27","35716363.64","43987591.97","33666292.29","34786549.94","37159659.41","43087012.25","57207179.91","54028373.06","123817969.2","179961721","354512184.4","410597212","625814830.4","1114757435","1617258952","1784465786","2726212573","4150188780","6476667478","7998138963","9022456130","15321764167","8748350236","9104875298","12717482673","14768384650","13800465501","12474470572","6901513269","4755321528","5078527283","",
"Equatorial Guinea","GNQ","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","","","","","","1.10527997083612E-09","0.544706817163598","-1.56323841336318E-08","0.249070784724468","0.341349275479511","0.25335054457803","0.254530644164421","1.34335404473382","3.7673267099173","7.04075072883787","5.70353409788964","6.33344824873695","13.5078738007086","0.498980576455472","0.0555545326269856","0.0328915700994565","-2.71490561241683E-09","6.24948365028065E-09","-1.18064125824811E-08","0","0","0","0","1.14895293558941E-14","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Equatorial Guinea","GNQ","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","0.894306135948738","19.4650979095674","0.015330369460371","16.2125874939309","2.54478586061499","0.103873730080607","0.0152718387291008","0.0658438165807147","0.00864054542728501","0.0767884889305582","0.0440360235368476","16.1980692451123","24.0917420189392","13.2055134691465","26.5770246181416","21.135821963942","8.78018585684272","2.54758847773784","2.03132774931891","1.88142158477732","2.57621359575569","0.210999618459482","0.172220356053651","0.864852056199718","1.56674666940497","2.31360652591852","2.50171355502063","1.20556277323362","4.17360989386891","4.57326738007565","4.6599098440934","2.03303241427965","5.56127982019438","4.77129478613676","8.28646691978127","9.2381995079261","7.46612350137885","",
"Equatorial Guinea","GNQ","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0322243717738482","","0.0204694356535277","","0.0053785097776899","","0.0168852452960438","0.0976053819800934","0.0584832729997418","0.0124718086103322","0.0144186911170394","0.0142451617736912","2.05285615880765E-05","0.0144859600014769","0.0258006659849705","0.0138214917539245","0.00399151262401741","0.00135645305116462","1.28681289581399","0.566518927284831","1.55316524069716","1.30128589488783","0.00555410231853201","2.89229474396172","3.45043167540614","5.41523543705547","5.7331241653518","18.0662916469778","11.3168482706367","",
"Equatorial Guinea","GNQ","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","6.45477571815631","6.65338034738617","","","","1.07411932375543","0.717144383987065","0.0919159326588262","1.5905986116886","0.580708586822863","0.747113977275136","0.407833422949794","1.31253405282532","0.209531699377928","0.418644466166224","0.103892857801787","0.400304801653159","0.00166487704731134","0.0913776367860691","0.162742768976183","0.109159391862949","0.0674897481664574","0.0383304973418583","0.0468042555881854","0.0262280514217667","0.0219529579469399","0.0337759604154858","0.297893971971517","1.02440599071673","0.00125638071706772","0.0106559182828435","0.0038781300526509","0.00220014146825629","0.42359243343505","0.038901386354374","0.182150030599727","",
"Equatorial Guinea","GNQ","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0253350561193282","","","0.163368153303703","0.0439851296472087","0.0297830305920987","0.0373261603210838","","0.00322053006865056","0.00988401110111246","0.00105022334166275","","0.00553635473296882","0.000319583350033694","1.79227528543014","0.646604366423071","0.270482238318466","0.00194137465743395","0.436344898026542","4.45176220609422","1.15867137878835","2.84056383657916","3.14457923871267","3.62168017343653","6.3150808789913","4.62622316953559","1.29098972242709","7.04362162949912","8.84707842813932","7.60006221180533","3.8926944037337","1.86706186097297","",
