"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Guam","GUM","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","109.3738482","115.8420037","149.008264","150.2945869","148.8764153","161.0640572","136.4159834","102.8919821","123.5756169","121.3309374","112.618366","122.753445","69.30607803","112.0535551","58.77912524","51.63410338","59.36461519","",
"Guam","GUM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0917207792208","13.1948451625313","13.5869565217391","20.1697363669195","11.768826619965","10.9269808389436","11.4866018091825","",
"Guam","GUM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362000","1373000","1382000","1137000","1162000","1287000","1159000","1059000","910000","1160000","1228000","1212000","1225000","1142000","1053000","1197000","1160000","1308000","1334000","1343000","1409000","1536000","1544000","",
"Guam","GUM","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","50.147","51.23","52.314","53.396","54.475","55.548","56.617","57.68","58.738","59.784","61.92","67.153","71.999","76.371","80.252","83.632","86.534","88.983","91.036","92.737","93.753","93.491","93.219","92.937","92.643","92.339","92.023","91.695","91.354","91.002","90.796","91.061","91.32","91.571","91.816","92.055","92.287","92.513","92.733","92.946","93.129","93.233","93.334","93.435","93.534","93.631","93.727","93.822","93.916","94.008","94.099","94.188","94.277","94.364","94.449","94.534","94.617","94.699","94.78",
"Guam","GUM","Urban population","SP.URB.TOTL","33469","34873","36413","38064","39795","41567","43373","45223","47118","49047","51937","57568","63062","68325","73332","78072","82540","86738","90699","94447","97628","99554","101521","103534","105577","107641","109721","111794","113894","116048","118472","121619","124827","128033","131115","133996","136640","139050","141211","143093","144656","145817","146699","147363","147878","148313","148696","149033","149360","149685","150035","150411","150839","151366","152078","153006","154179","155572","157115",
"Guam","GUM","Urban population growth (annual %)","SP.URB.GROW","3.58620525044692","4.10932535521853","4.32129629126699","4.43430998210937","4.44723226972109","4.35653069741052","4.25305444619428","4.17686792818125","4.10492866451193","4.01239284405925","5.72524235524671","10.293541215427","9.11515116720533","8.01573623739558","7.0721343886647","6.26344021383812","5.56515464852757","4.96090564039999","4.46542509735513","4.04924989036018","3.31255069156563","1.95358729953944","1.95654631167869","1.96343875423516","1.95404833435555","1.93610715228993","1.91391640942766","1.87171118813808","1.86102992601901","1.87357073429763","2.06727471141456","2.62165615911046","2.60355713634123","2.53592645019663","2.37867575088754","2.17351480585394","1.95397812811594","1.74838506397141","1.54216450275532","1.3239542817041","1.08637414704427","0.799390086208038","0.603045763602815","0.451606211283884","0.348867889170897","0.293729595264102","0.257904785574372","0.226380462717283","0.219174130024246","0.217358677091839","0.233551420721525","0.250294692753615","0.284149568780827","0.348770228292169","0.469280201066009","0.608358918926805","0.763712877474573","0.899438188094272","0.986937432372511",
"Guam","GUM","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.853","48.77","47.686","46.604","45.525","44.452","43.383","42.32","41.262","40.216","38.08","32.847","28.001","23.629","19.748","16.368","13.466","11.017","8.964","7.26300000000001","6.247","6.509","6.78100000000001","7.063","7.357","7.661","7.977","8.30500000000001","8.646","8.998","9.20399999999999","8.93899999999999","8.68000000000001","8.429","8.184","7.94499999999999","7.71299999999999","7.48699999999999","7.267","7.054","6.871","6.767","6.666","6.565","6.46599999999999","6.369","6.273","6.178","6.084","5.992","5.901","5.812","5.723","5.636","5.551","5.46599999999999","5.383","5.301","5.22",
"Guam","GUM","Rural population growth (annual %)","SP.RUR.TOTL.ZG","-0.168163157853506","-0.22265023038299","-0.0241000151791582","0.0933552233792423","0.102289488145119","0.0210466183371302","-0.0872219854685858","-0.159602533314946","-0.247435249959368","-0.320765269280603","-3.24362749666063","-12.6027636746531","-13.8138500588909","-14.8573329817878","-15.8251037538797","-16.6323854356378","-17.3590153176527","-17.9072655685768","-18.435360417433","-18.8453858096018","-12.8503400641262","6.34329909713789","6.34468130474956","6.33529845434694","6.35212270518738","6.32032431230627","6.29206527984993","6.25585894923544","6.25921838068885","6.24838093801879","4.56560299122128","-0.592928372864089","-0.621746247552434","-0.676535349963242","-0.835042343707448","-1.04938172676174","-1.26170914555383","-1.47314444600042","-1.6757415291942","-1.87910299701286","-1.73691265739614","-0.83737611191733","-1.01610484418266","-1.18094598911183","-1.27328347048326","-1.31943623486348","-1.36721854294186","-1.39635983291119","-1.41613449199308","-1.4050290978072","-1.39316237450802","-1.36973784113728","-1.34506854876607","-1.27488263703657","-1.14579372439696","-1.02334320100109","-0.851358794560714","-0.720785684503928","-0.645089208600075",
"Guam","GUM","Rural population","SP.RUR.TOTL","33273","33199","33191","33222","33256","33263","33234","33181","33099","32993","31940","28158","24525","21139","18045","15280","12845","10739","8931","7397","6505","6931","7385","7868","8384","8931","9511","10125","10779","11474","12010","11939","11865","11785","11687","11565","11420","11253","11066","10860","10673","10584","10477","10354","10223","10089","9952","9814","9676","9541","9409","9281","9157","9041","8938","8847","8772","8709","8653",
"Guam","GUM","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
