"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Kazakhstan","KAZ","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1849994659424","16.1660003662109","16.1499996185303","16.1790008544922","16.0750007629395","16.0380001068115","16.0669994354248","16.1229991912842","16.1529998779297","16.238000869751","16.3299999237061","16.2800006866455","16.9619998931885","17.4099998474121","18","18.431999206543","18.92799949646","18.92799949646","18.6399993896484","18.7119998931885","18.9699993133545","19.3880004882813","19.82200050354","20.0060005187988","20.5620002746582","20.992000579834","21.2830009460449","21.3229999542236",
"Kazakhstan","KAZ","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9580001831055","21.943000793457","21.9300003051758","21.931999206543","21.7830009460449","21.7590007781982","21.8530006408691","21.992000579834","22.0879993438721","22.2679996490479","22.4580001831055","22.3649997711182","23.2609996795654","23.8959999084473","24.5769996643066","24.8490009307861","25.42799949646","25.8810005187988","25.7089996337891","25.5540008544922","26.0580005645752","26.6389999389648","27.0049991607666","27.742000579834","29.0209999084473","29.6639995574951","30.1240005493164","30.1989994049072",
"Kazakhstan","KAZ","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91499996185303","9.88199996948242","9.85499954223633","9.82600021362305","9.7519998550415","9.70899963378906","9.70400047302246","9.7189998626709","9.71399974822998","9.72500038146973","9.73299980163574","9.70400047302246","10.1700000762939","10.3929996490479","10.9020004272461","11.5310001373291","11.9680004119873","11.5299997329712","11.1110000610352","11.4259996414185","11.423999786377","11.6000003814697","12.1809997558594","11.7419996261597","11.4860000610352","11.6780004501343","11.7889995574951","11.7650003433228",
"Kazakhstan","KAZ","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23691.982421875","22455.767578125","20407.390625","19079.62890625","18260.814453125","18921.9375","19464.84765625","19300.94140625","20048.796875","21937.3046875","24172.3125","25971.07421875","27900.4921875","30188.37109375","32378.099609375","35158.55859375","37464.25","37805.859375","37942.00390625","39732.9765625","42053.01171875","43527.6015625","45604.10546875","46918.296875","47094.5390625","47346.80078125","49018.78515625","50619.109375",
"Kazakhstan","KAZ","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12100005149841","1.11899995803833","1.12000000476837","1.12100005149841","1.12100005149841","1.1139999628067","1.10300004482269","1.09500002861023","1.08200001716614","1.06200003623962","1.04499995708466","1.01400005817413","0.97299998998642","1.16999995708466","0.977999985218048","1.13499999046326","0.995999991893768","0.771000027656555","0.824000000953674","0.828999996185303","0.800000011920929","0.458000004291534","0.391999989748001","0.212999999523163","0.11599999666214","0.116999998688698","0.116999998688698","0.118000000715256",
"Kazakhstan","KAZ","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.954999983310699","0.950999975204468","0.949999988079071","0.949999988079071","0.948000013828278","0.938000023365021","0.925999999046326","0.916999995708466","0.90200001001358","0.882000029087067","0.865000009536743","0.717000007629395","0.801999986171722","1.02300000190735","1.05099999904633","1.14199995994568","0.89300000667572","0.648999989032745","0.763000011444092","0.763999998569489","0.772000014781952","0.523000001907349","0.375","0.215000003576279","0.123000003397465","0.123000003397465","0.123000003397465","0.123000003397465",
"Kazakhstan","KAZ","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30099999904633","1.30099999904633","1.30499994754791","1.31099998950958","1.31400001049042","1.30799996852875","1.29700005054474","1.28999996185303","1.27699995040894","1.25699996948242","1.2389999628067","1.33399999141693","1.15900003910065","1.3289999961853","0.898999989032745","1.12699997425079","1.10599994659424","0.901000022888184","0.888000011444092","0.898999989032745","0.829999983310699","0.388999998569489","0.409999996423721","0.210999995470047","0.108999997377396","0.109999999403954","0.111000001430511","0.111000001430511",
"Kazakhstan","KAZ","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.01","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.53","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.5","","","","","","","","","","","","",
"Kazakhstan","KAZ","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.1399993896484","59.9300003051758","59.6030006408691","59.2569999694824","58.8660011291504","58.7540016174316","58.7369995117188","58.6100006103516","58.6640014648438","58.9360008239746","59.1129989624023","61.0320014953613","61.6230010986328","63.0550003051758","64.3619995117188","64.9380035400391","65.5790023803711","66.5139999389648","66.556999206543","67.0059967041016","67.5459976196289","68.6490020751953","69.5800018310547","71.4189987182617","73.0370025634766","72.9339981079102","72.8730010986328","72.8030014038086",
"Kazakhstan","KAZ","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.548999786377","63.3759994506836","63.0750007629395","62.7319984436035","62.3810005187988","62.3170013427734","62.3400001525879","62.2509994506836","62.3470001220703","62.6570014953613","62.8709983825684","64.8880004882813","64.681999206543","65.1080017089844","66.5130004882813","66.2119979858398","66.4789962768555","67.9570007324219","67.8030014038086","68.3349990844727","68.3130035400391","68.6100006103516","68.8349990844727","70.4160003662109","71.7990036010742","71.7239990234375","71.6969985961914","71.6579971313477",
"Kazakhstan","KAZ","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.4389991760254","56.1809997558594","55.8209991455078","55.4189987182617","54.9710006713867","54.8120002746582","54.7750015258789","54.6380004882813","54.6679992675781","54.9179992675781","55.068000793457","56.8639984130859","58.3250007629395","60.8339996337891","62.0419998168945","63.568000793457","64.6149978637695","64.9789962768555","65.2300033569336","65.5899963378906","66.7300033569336","68.6900024414063","70.3730010986328","72.4899978637695","74.3659973144531","74.234001159668","74.1360015869141","74.036003112793",
