"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"St. Lucia","LCA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","100","100","100","100","","100","100","100","","","99.95","99.95","99.97","99.97","99.97","100","100","","",
"St. Lucia","LCA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","105.6406542","92.68045365","113.8749647","107.6780501","104.9760384","116.62252","110.4212125","90.38714516","100.1089033","103.9281743","83.61978186","76.65413178","74.84284292","79.53732466","103.2185506","131.5147435","115.8750425","",
"St. Lucia","LCA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","90.7648534491587","103.869377854817","105.000366990334","117.828832697138","98.568758265538","84.9086634075329","95.5910208146432","73.243549680688","71.524170600063","79.5608116561679","76.8114818623469","87.1540612251798","87.9462956324176","76.7697562926084","73.7948112833515","72.3158055555027","68.5670833981314","64.0641562815013","60.9639931415508","55.691534713524","54.5024683798621","49.6971986968101","49.8343167269241","47.703101860239","49.9790930304705","43.8471652791545","52.6426417473885","52.6030434008097","54.1373395402067","60.463583520099","55.6498588692484","63.7279118668885","53.646326815265","62.6785175713992","59.3379491226131","57.4457090783101","53.6076406816728","51.0890030656764","45.7059094897047","45.905667484091","43.2010810214238","41.7868175856174",
"St. Lucia","LCA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31578947368422","7.43893517770789","6.99988378226159","7.25592523883004","7.21743849786555","7.39996345697058","7.94627435615865","8.47959059117819","7.20425905656096","7.3956129278894","6.5563010168049","5.51871726181161","5.61958255238253","5.48592965150847","7.25352833109961","6.09581993390427","5.88073794565349","5.94895907684612","6.72414031943165","7.7912031448221","9.10784244722709","8.37905013445419","8.60951237155584","",
"St. Lucia","LCA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000000","29000000","29000000","31000000","33000000","33000000","32000000","34000000","36000000","37000000","39000000","39000000","42000000","45000000","47000000","48000000","48000000","45000000","46000000","66000000","76000000","77000000","80000000","",
"St. Lucia","LCA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000000","29000000","29000000","31000000","33000000","33000000","32000000","34000000","36000000","37000000","39000000","39000000","42000000","45000000","47000000","48000000","48000000","45000000","46000000","45000000","46000000","50000000","52000000","",
"St. Lucia","LCA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230000000","237000000","253000000","283000000","263000000","281000000","233000000","210000000","282000000","326000000","382000000","294000000","302000000","311000000","296000000","309000000","321000000","337000000","354000000","778000000","810000000","776000000","801000000","",
"St. Lucia","LCA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000000","30000000","27000000","28000000","",
"St. Lucia","LCA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5770919093978","67.1162761427282","70.5383050567426","72.5875401364163","71.148740043084","74.5607138645387","71.0771963203907","65.7912432017746","72.2855961180641","70.2231008497454","72.7735624962139","66.7866051337616","66.0648661315319","58.0160525961138","54.4165537553249","50.7499104034147","56.0363775671845","55.7878975600148","57.6242962264307","81.4901352948975","80.2444405691887","81.7894195079985","81.2162928485696","",
