"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Morocco","MAR","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3016441","","0.6185842","","","","","","0.6250559","","","","","","","","","","","","",
"Morocco","MAR","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07473","","0.10032","","","","","","0.14249","","","","","","","","","","","","",
"Morocco","MAR","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85000","","178000","","","","","","193000","","","","","","","","","","","","",
"Morocco","MAR","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0014199","","0.0019061","","","","","","0.0027073","","","","","","","","","","","","",
"Morocco","MAR","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","111","116","103","99","99","97","94","98","98","101","100","99","99","101","101","103","99","",
"Morocco","MAR","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","",
"Morocco","MAR","Tuberculosis treatment success rate (% of new cases)","SH.TBS.CURE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","89","86","86","83","88","88","88","87","88","81","89","89","86","88","87","","",
"Morocco","MAR","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","1.1","","","","","2","","","","","","5","","","","","","","","1","","","","","","","",
"Morocco","MAR","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29999995231628","","","","","1.29999995231628","","","","","2.29999995231628","","","","","","5.30000019073486","","","","","","","","1.10000002384186","","","","","","","",
"Morocco","MAR","Prevalence of severe wasting, weight for height, female (% of children under 5)","SH.SVR.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70000004768372","","","","","0.899999976158142","","","","","1.79999995231628","","","","","","4.59999990463257","","","","","","","","0.899999976158142","","","","","","","",
"Morocco","MAR","Prevalence of wasting, weight for height (% of children under 5)","SH.STA.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","","","2.6","","","","","4.7","","","","","","10.8","","","","","","","","2.3","","","","","","","",
"Morocco","MAR","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","2.90000009536743","","","","","5","","","","","","11.1000003814697","","","","","","","","2.79999995231628","","","","","","","",
"Morocco","MAR","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79999995231628","","","","","2.29999995231628","","","","","4.5","","","","","","10.3999996185303","","","","","","","","1.79999995231628","","","","","","","",
"Morocco","MAR","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","SH.STA.WASH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","","",
"Morocco","MAR","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","","","19.6","","",
"Morocco","MAR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","","","","","5.3","","","","","3.7","","","","","2.9","2.9","","",
"Morocco","MAR","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","","4.2","","","","","2.7","","","","","2.3","2.3","","",
"Morocco","MAR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","","","6.3","","","","","4.7","","","","","3.6","3.4","","",
"Morocco","MAR","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5","","","","","29.9","","","","","29","","","","","","23.1","","","","","","","","14.9","","","","","","","",
"Morocco","MAR","Prevalence of stunting, height for age, male (% of children under 5)","SH.STA.STNT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0999984741211","","","","","31.2000007629395","","","","","30.8999996185303","","","","","","24.3999996185303","","","","","","","","15.8000001907349","","","","","","","",
"Morocco","MAR","Prevalence of stunting, height for age, female (% of children under 5)","SH.STA.STNT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","28.5","","","","","27","","","","","","21.8999996185303","","","","","","","","14","","","","","","","",
"Morocco","MAR","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2258674703599","31.760531932967","32.2948214063516","32.828455557164","33.3609454636554","33.8285327707892","34.2912299419169","34.7455160102036","35.1914150377371","35.6288842344856","36.0580308423695","36.4788283504659","36.8913678549234","37.2956046344255","37.6915851908794","38.0794249995254","","","",
"Morocco","MAR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0494705314093","38.1018414179295","38.1542123044498","38.20658319097","38.2589540774903","38.3113249640105","38.3636958505308","38.416066737051","38.4684376235713","38.5208085100915","38.5731793966118","38.6255502831321","38.6779211696523","38.7302920561726","38.7826629426928","38.8350338292131","","","",
"Morocco","MAR","People using safely managed sanitation services, rural (% of rural population)","SH.STA.SMSS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","SH.STA.POIS.P5.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","1.3","","","","","0.8","","","","","0.7","0.7","","",
