"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Madagascar","MDG","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.08","","","","","","90.62","","","","","","","","","","","",
"Madagascar","MDG","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.85","","","","","","83.9","","","","","","","","","","","",
"Madagascar","MDG","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.08180922050349","7.922","",
"Madagascar","MDG","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","54.6","","","","","","","","","","","","","69.2","","","","67.7","","66.6","","68.2","","","","69.5","","","","","73.4","","73.4","","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","88.7","","","","","","","","","","","","","96.6","","","","96.9","","96.7","","94.4","","","","97.1","","","","","97.6","","97.3","","","","","","",
"Madagascar","MDG","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.2","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.8","","","","73.2","","","","","71.7","","70.7","","","","","","",
"Madagascar","MDG","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","35.1","","","","","","","","","","","","","51.5","","","","49.3","","47.8","","52.2","","","","51.8","","","","","57.7","","57.9","","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","71.4","","","","","","","","","","","","","88.7","","","","87.3","","86.4","","84.9","","","","89.2","","","","","91.3","","91","","","","","","",
"Madagascar","MDG","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","46.8","","","","","","","","","","","","","45.3","","","","39.5","","38.6","","47.4","","","","39.9","","","","","42.4","","42.6","","","","","","",
"Madagascar","MDG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","31","","","","28.8","","27.8","","34.3","","","","30.7","","","","","38.2","","39","","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","46.1","","","","","","","","","","","","","70.3","","","","66.8","","64.2","","68.7","","","","72","","","","","78.5","","77.6","","","","","","",
"Madagascar","MDG","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","5.4","","","","6.1","","6.3","","4.9","","","","6.7","","","","","6.1","","5.7","","","","","","",
"Madagascar","MDG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","2.3","","2.5","","1.9","","","","2.7","","","","","2.4","","2.2","","","","","","",
"Madagascar","MDG","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","37","","","","30.1","","28.9","","36.6","","","","32.4","","","","","34.3","","33.5","","","","","","",
"Madagascar","MDG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","52.5","","","","","","","","","","","","","51.4","","","","46","","45.2","","53.5","","","","47.5","","","","","49.5","","49.4","","","","","","",
"Madagascar","MDG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","20.4","","","","","","","","","","","","","19.6","","","","21.9","","22.6","","20.4","","","","20.5","","","","","20.1","","20.7","","","","","","",
"Madagascar","MDG","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","13.4","","","","","","","","","","","","","13.8","","","","15.3","","15.3","","12.7","","","","14.6","","","","","14","","14.1","","","","","","",
"Madagascar","MDG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","8.8","","","","","","","","","","","","","9.8","","","","10.6","","10.6","","8.5","","","","10.8","","","","","10.2","","10","","","","","","",
"Madagascar","MDG","Domestic private health expenditure per capita, PPP (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.17055034","26.3122276","24.88749546","26.98521965","27.11422119","29.03697929","29.39560527","29.33026551","31.81535106","31.95477629","31.71322722","25.25645908","25.05360213","25.54825324","24.93358204","25.58221282","24.67220256","","",
"Madagascar","MDG","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.83821719","6.0906089","6.30735838","7.6032697","5.63132954","6.44998925","6.60253777","8.04083211","10.23620842","9.65606865","9.64091327","8.4024893","7.96548921","8.35474717","7.80543555","7.01420146","6.58054339","","",
"Madagascar","MDG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.07682615","38.25472025","40.71573271","49.74765241","41.80923724","42.46928689","40.21888753","40.87522332","48.13181207","48.11397138","43.90451572","37.07092445","45.16192205","42.77738627","33.94090757","31.69302981","27.28348","","",
