"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Malta","MLT","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27087733746114","2.52947470398822","1.0083999717648","1.50317545815535","1.49512961527823","0","1.72836518874982","0.983315592681182","0","0.974839395209639","1.45585837409737","0.966078566339408","0.961284275792459","0.717073765378245","2.85178557424267","1.65388450215714","1.40987381629344","0.935418693407169","","","",
"Malta","MLT","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.48742383150463","0.987639689288554","0","1.46968049146116","2.43900059511614","0.48543453672555","1.44812106292086","0","4.28404146952142","3.30667523253013","2.34519375990844","0.932396585563704","","","",
"Malta","MLT","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.96737114948578","0.979014817389261","0","0.484970756263397","0.482795579523674","1.44200958455704","0.478585683587861","1.42966750699346","1.42376452833054","0","0.470889604641088","0.93845605210308","","","",
"Malta","MLT","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","70.7792207792207","69.291338582677","81.2807881773397","77.5862068965513","71.536523929471","66.8965517241381","66.2264150943397","70.8160442600279","71.5867158671586","74.3438320209974","70.2099737532808","65.1376146788992","60.4810996563576","59.9452554744524","59.5081967213115","61.6096866096866","66.4150943396226","66.7926310817195","65.7521719250114","68.0812965229691","68.85310290652","65.2107155114796","67.5307378240994","65.3243165141207","63.8013785112064","60.6500663015672","59.4313478886741","56.6043928895275","55.9321921153296","54.5310694975077","50.9248705807086","50.4983511209118","51.0987367916434","21.8995449119085","18.3033229829256","14.9687682516009","14.6329664172649","11.0535140887438","9.1437147683528","10.6384475951523","11.2940786123676","11.3598823205989","11.5473033626549","11.4138559441715","10.2519193341027","10.0027567759861","11.0017026557082","10.5724026151909",
"Malta","MLT","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","10.1298701298701","3.38582677165355","8.07881773399012","12.1724137931034","21.8891687657431","25.5632183908047","27.1132075471699","22.1853388658368","24.0036900369004","20.6627296587926","25.2952755905512","28.0400333611343","26.8642611683849","29.9543795620437","27.9426229508196","28.0270655270655","26.4636118598384","26.9579593764762","25.9259259259259","23.0944235152658","21.8428908091123","24.7269639986272","22.1623492189045","22.633152474809","25.3564976104961","24.7492566260454","25.861486810108","27.3068204023153","27.8525573247061","27.9551407990788","29.2672029743845","27.7901339708271","23.2815741814009","10.0824251852371","7.96669809690217","7.85261941059273","6.55155916719695","5.33837848583364","4.70987599404757","3.83220109548572","3.95282422875989","4.29790624637047","4.38371369007633","4.38398564391448","4.55724057222561","6.24398724920849","6.73621857671411","7.28663691880452",
