"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Northern Mariana Islands","MNP","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95.22131829","112.0534068","109.9835737","101.7602203","77.98045451","59.48522801","34.18833337","15.24046371","7.851674364","9.094221484","8.070058966","7.920420494","8.878288224","11.05677197","13.18744149","14.05245008","15.69529492","",
"Northern Mariana Islands","MNP","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.563862928349","120.90395480226","123.140495867769","120.829406220547","100.808080808081","67.0575692963753","29.2864749733759","9.93710691823899","11.8898623279099","12.5511596180082","12.5166444740346","13.2992327365729","14.9112426035503","14.1783029001074","11.28","10.1694915254237","",
"Northern Mariana Islands","MNP","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","655000000","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","669000","728000","685000","481000","493000","517000","438000","466000","452000","525000","498000","429000","385000","388000","345000","375000","336000","399000","436000","455000","475100","526000","656000","",
"Northern Mariana Islands","MNP","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","51.219","52.741","54.26","55.771","57.274","58.759","60.231","61.688","64.592","67.384","70.062","72.609","75.021","77.28","79.016","80.554","82.007","83.37","84.651","85.85","86.784","87.117","87.444","87.763","88.076","88.381","88.679","88.971","89.257","89.535","89.731","89.697","89.662","89.627","89.592","89.557","89.655","89.784","89.912","90.038","90.152","90.235","90.316","90.398","90.478","90.558","90.638","90.716","90.795","90.872","90.949","91.028","91.108","91.19","91.273","91.357","91.443","91.53","91.618",
"Northern Mariana Islands","MNP","Urban population","SP.URB.TOTL","5111","5403","5663","5906","6176","6476","6833","7230","7841","8473","9104","9751","10414","11070","11597","12022","12322","12546","12842","13425","14435","15819","17635","19854","22459","25383","28705","32365","35960","38984","41054","41858","41671","41012","40643","41080","42605","44942","47651","50094","51795","52626","52763","52383","51795","51203","50650","50092","49597","49246","49086","49166","49482","49958","50479","50959","51380","51771","52114",
