"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Puerto Rico","PRI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","11.8699998855591","12.3100004196167","12.1300001144409","13.8400001525879","","21.7999992370605","21.1900005340576","18.6399993896484","17.7199993133545","","20.4099998474121","23.3299999237061","26.5200004577637","23.7900009155273","24.75","22.6000003814697","20.3199996948242","18.25","","17.5599994659424","18.7999992370605","19.0900001525879","19.3799991607666","","16.0400009155273","14.960000038147","14.9099998474121","14.4099998474121","13.5200004577637","11.9300003051758","","13.3699998855591","12.7700004577637","11.4700002670288","12.2200002670288","11.210000038147","11.960000038147","12.8299999237061","17","18.8999996185303","18.2000007629395","16.2000007629395","","","13.8000001907349","","","",
"Puerto Rico","PRI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9670000076294","13.2639999389648","13.1780004501343","11.2709999084473","10.6870002746582","11.5749998092651","12.1440000534058","11.9759998321533","9.4370002746582","7.39900016784668","9.17800045013428","10.3059997558594","10.6459999084473","8.60499954223633","10.0909996032715","10.5480003356934","9.52400016784668","9.64599990844727","12.41100025177","12.5509996414185","12.6160001754761","12.0550003051758","11.8149995803833","11.3570003509521","9.64099979400635","9.42599964141846","8.35900020599365","8.7480001449585",
"Puerto Rico","PRI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","11.1099996566772","10.8199996948242","10.4899997711182","11.6099996566772","","14.960000038147","14.6499996185303","12.8500003814697","10.2799997329712","","12.9700002670288","13.4799995422363","16.7299995422363","15.2200002670288","15.539999961853","13.9899997711182","13.1000003814697","11.1700000762939","","11","13.5699996948242","13.3000001907349","13.3199996948242","","10.7700004577637","11.6199998855591","12.210000038147","12","9.52000045776367","7.46000003814697","","10.5500001907349","10.8199996948242","8.60000038146973","10.0799999237061","10.4200000762939","9.52999973297119","9.65999984741211","12.5","12.6999998092651","12.8000001907349","12","","","9.69999980926514","","","",
"Puerto Rico","PRI","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
