"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Rwanda","RWA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","99.95","99.95","","99.97","99.97","99.97","99.97","100","100","100","100","100","","",
"Rwanda","RWA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","71.44104152","78.6912299499999","95.58414714","96.53126326","104.6037525","106.3908277","124.2899758","107.2797501","109.5133635","93.132686","78.10117828","161.175582","144.3796374","178.9222721","61.02139117","113.818083","117.3598561","143.8927013","154.6881195","133.0100416","100","135.7738366","121.4669628","116.428691","115.5889468","164.3514801","199.1815513","257.718706","350.9031276","419.0934912","439.1979287","547.4913568","630.206217","646.4363043","701.2138187","741.6863615","786.2289611","609.7691966","",
"Rwanda","RWA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","15.1260473695367","13.9344244020427","13.5999991296001","12.5","18.4615393136095","21.505379234594","26.5005530929289","21.3085962424497","21.4866411918726","20.1377808950827","24.5566159738986","24.6689230709658","21.9104413008085","23.0441566821376","30.4741232318276","24.6562423310476","29.1648429838888","28.7952640678634","28.7067874696464","27.944386906751","25.1042953981083","25.9405656877085","26.7899784459216","27.0327235180526","26.6471303560537","25.0054522497232","27.6647781104254","21.5997335058453","19.9541315670625","17.5050378643474","15.6067071027197","20.872556893964","17.4467886153201","20.1874081410408","36.7551263260996","22.419184447757","23.004555895758","20.7932960926196","17.3424047093545","16.4857560348567","14.4988365292799","20.9802734643681","17.8927282238387","16.7440473369576","17.5662614853146","22.196291536812","23.6832364704514","24.8722644211051","29.6246974493758","28.7171867240274","29.8798961313155","38.1361838592042","39.4142118498719","39.4257443782324","39.8298931617482","37.0155010671163","37.8494636412507","37.3818294604727","38.8684273580549",
"Rwanda","RWA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.31462934455489","6.49149549200419","5.58108598832639","5.1560615663435","4.99767137325315","9.80287671772518","9.88865817796676","11.7637368443994","",
"Rwanda","RWA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000000","19000000","22000000","25000000","28000000","35000000","33000000","24000000","26000000","31000000","75000000","84000000","98000000","146000000","148000000","120000000","142000000","133000000","126000000","133000000","295000000","309000000","347000000","",
"Rwanda","RWA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","13000000","13000000","16000000","18000000","22000000","20000000","24000000","26000000","31000000","37000000","41000000","47000000","70000000","72000000","77000000","89000000","79000000","79000000","84000000","253000000","266000000","299000000","",
"Rwanda","RWA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","4000000","17000000","19000000","17000000","23000000","25000000","31000000","30000000","44000000","49000000","132000000","152000000","186000000","174000000","202000000","252000000","282000000","294000000","304000000","368000000","390000000","438000000","",
"Rwanda","RWA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","6000000","9000000","9000000","10000000","13000000","13000000","","","","38000000","43000000","51000000","76000000","76000000","43000000","53000000","54000000","47000000","49000000","42000000","43000000","48000000","",
"Rwanda","RWA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","2000000","1000000","4000000","4000000","4000000","","","","18000000","16000000","25000000","38000000","49000000","22000000","46000000","55000000","70000000","72000000","89000000","80000000","178000000","",
"Rwanda","RWA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7372910030036","30.4599275211179","30.4567117609092","28.4764420304878","28.5861886476613","30.4661291115892","30.1080282594272","30.0715340992467","",
