"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Somalia","SOM","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","9","12","562","591","","",
"Somalia","SOM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.43282495582579","","","","","4.96439874252696","","","","","5.28020693524877","","","","","4.30845694504272","","","",
"Somalia","SOM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46808160728612","","","",
"Somalia","SOM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.16431925253901","","","",
"Somalia","SOM","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500000","1500000","1459000","1350000","1100000","1107000","1223000","1107000","825000","2648000",
"Somalia","SOM","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","","5200","","28000","60000","36000","59000","70000","899000","547000",
"Somalia","SOM","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400000","300000","100000","185000","80000","89000","90000","113000","388000","578000",
"Somalia","SOM","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373","2650","8005","1154","25","237","104","440","","","25","","228","114","","0","","547","1575","1521","1477","2151","1937","2624","913","1113","1173","1925","1837","",
"Somalia","SOM","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","73.06380906","78.97108746","48.60556114","55.65285052","22.95550051","46.9473754","43.94191375","53.68375496","62.02650195","39.07099315","77.72745645","47.15465691","61.14559907","60.62741603","70.47289385","88.07772021","96.89119171","91.70466321","102.0777202","98.96373057","100","147.6683938","153.8911917","115.5440415","93.2642487","129.5336788","150.2590674","181.3471503","217.6165803","225.388601","233.1606218","269.4300518","279.7927461","269.4300518","264.2487047","227.9792746","227.9792746","222.7979275","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","3.91304347826087","5.32319391634981","","0.3125","0.278551532033426","","1.82370820668693","","0.66711590296496","0.649850626751671","2.32892008294784","1.9216277317257","0.64492353049567","0.442041114115274","0.860762758309423","1.12104585788796","1.07022772833823","2.54066515129532","0.456089641322097","","0.334871934111684","0.33487193402301","0.216247133847443","0.35899814471243","0.889503543870126","0.358643774771709","0.951587222609215","0.221818056118499","0.355611265859229","0.400935591487439","0.595972243941336","1.01628060301572","0.984964825718995","1.14392139524109","1.16879875795093","0.972201308558022","1.22418197317297","0.323937858681358","0.491118564612258","0.681171246904849","4.72511172002504","9.83462632425011","9.2283774323236","4.01035572629831","3.28143595096662","5.23123887009448","4.4744172875131","12.4309273744292","13.5960264401078","9.30269111046738","0.239740597861828","9.67879916618423","0.142629149492663","5.2543103098836","0.375594325629291","4.03144524471049","4.35938939380367","5.62915875864286","",
"Somalia","SOM","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","23000000","26300000","","32000000","35900000","","32900000","19100000","29680000","32469000","31345000","34502000","43416000","46602000","62038000","88578000","94279000","62031000","106558000","","132588000","152424146.2","199309000","107800000","63631000","108743000","80392000","140995068.8","126136662.2","120069729.8","150324553.3","98330292.99","129996674.4","121242539.3","151927700.7","172040518","192228161.6","157347245.5","126769542.9","116354871.1","124109129","84488477","127009673","167409214","170285146","214637379","332320234","187858792","213290053","274205912","356207087","476645338","465395750","639570315","607279675","680893286","645691253","449714124","",
"Somalia","SOM","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","39.5652173913043","36.8821292775665","","20","13.9275766016713","","13.0699088145897","-9.75206884414114E-15","65.0572776280323","13.5051895654316","16.5863774126655","17.7612892006261","15.5656900681776","22.5054718681602","27.3106805506303","22.5405856984804","8.28498393067385","5.93896600087053","0.362244036111789","","3.00102573385223","3.00102574803663","0.158547782588844","0.0157699443413729","0.0770064905470604","4.90882171725996","13.6667827644542","18.3146705165244","16.7527642536749","19.3453588339665","0.20620776217678","0.879371567881786","0.131719018827248","0.130575187810509","0.0092148746117988","0.0132525942348016","0.00933059430663614","0.0125388625485744","0.0177422336005813","0.021704211711937","0.00303926071385128","0.0156766939946153","0.0307181327834829","0.0202688963105699","0.0388877136705746","0.012305871476375","0","0","0.019656331558978","0.00950563020683522","0.00648892199048246","0.00456649803632402","0.00547147239741661","0.00371702679790572","0.00443387142834971","0.00462480694808907","0.00461815145573917","0.00626531356173283","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","3.91304347826087","5.32319391634981","","0.3125","0.278551532033426","","1.82370820668693","","0.66711590296496","0.649850626751671","2.32892008294784","1.9216277317257","0.64492353049567","0.442041114115274","0.860762758309423","1.12104585788796","1.07022772833823","2.54066515129532","0.456089641322097","","0.334871934111684","0.33487193402301","0.216247133847443","0.35899814471243","0.889503543870126","0.358643774771709","0.951587222609215","0.221818056118499","0.355611265859229","0.400935591487439","0.595972243941336","1.01628060301572","0.984964825718995","1.14392139524109","1.16879875795093","0.972201308558022","1.22418197317297","0.323937858681358","0.491118564612258","0.681171246904849","4.72511172002504","9.83462632425011","9.2283774323236","4.01035572629831","3.28143595096662","5.23123887009448","4.4744172875131","12.4309273744292","13.5960264401078","9.30269111046738","0.239740597861828","9.67879916618423","0.142629149492663","5.2543103098836","0.375594325629291","4.03144524471049","4.35938939380367","5.62915875864286","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","0.0370619946091644","","","","0.0575824580799705","0.00214583065104502","","","0.0233349950678306","0.0467508181393174","0.0159537528857524","","0.163664886716747","0.163664886661507","0.0486681484529048","0.0287569573283859","0.0172871713472993","0.0193115878723228","0.0908050552293761","0.0430384573775959","0.0388835318491565","0.559149900759583","1.07380569310563","0.793516693220218","1.878026440171","1.2465465681384","1.75560893420472","1.28186437553275","5.85542433604848","0.900033068243956","3.02660734472917","0.967380868528159","2.12823506319185","6.51702361731529","18.3054026129175","8.16977254310507","5.83420176883778","6.59740678253437","5.85730148468781","8.588467874317","9.49410847584158","2.99116599645014","3.34804147229109","2.4734971812522","2.73752521375625","6.74178741394525","9.09615672548237","3.25229715952875","3.54258182896586","2.40185473916759","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0.434782608695652","1.90114068441065","","7.5","10.0278551532033","","3.3434650455927","8.90052356020942","2.12264150943396","0.344944408512735","0.682724517466901","2.84331343110544","3.28450340888152","2.14797648169606","0.465843515264838","1.71600171600172","1.56450535113864","0.440102529380471","0.276844535370409","","4.64597097776571","4.64597097678872","0.121921237876865","0.165120593692022","7.70222061573761","3.85771957735211","1.43546621554384","2.51115546609173","0.597289979899278","0.412726090435493","18.9012234734909","30.6940705241002","35.0206380330603","33.5281594684878","17.6624911256884","12.853315560242","18.1678615935242","9.85705182011019","26.1865538886892","28.7693317863854","17.7357751016043","5.57717474301259","16.7687235916275","16.9232513092141","19.8607088136742","25.8785637705723","20.3043303105041","38.0773868704532","23.1732752206686","17.2807029047572","13.598122487664","10.2438692057448","12.163965829082","7.80390800345385","4.93436043285987","4.82460918259077","5.03288202356986","6.86726374642394","",
