"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Chad","TCD","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64","","","","2.46","2.46","2.02","2.02","2.02","2.02","1.27","1.27","1.27","1.27","1.27","","1.3","","1.27","1.27","","",
"Chad","TCD","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","24.29954007","41.79384792","66.29376576","78.9145635099999","84.65334865","90.9726901899999","98.9505204","89.60159792","91.69773698","91.09532711","97.42104233","83.46864515","78.67748777","67.84147387","52.50872776","95.03971948","77.98532734","87.48935569","95.00659944","87.93612002","100","215.5716261","519.0030935","235.1552681","263.1558074","249.3340432","337.5457363","410.5517351","414.5461816","434.6994336","496.8041511","597.1721355","518.0736151","560.1958047","826.5059331","761.0819834","529.405394","404.8896053","",
"Chad","TCD","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","12.1180143709511","13.7734721565498","12.8622501095712","13.9872553584634","15.8063460487994","13.9113314721898","12.9391536485036","20.0077219582781","18.723287788691","18.0223876715239","19.6050546146861","17.9330476579754","16.7399024381149","18.5414239633872","19.0028762918032","20.9344852746139","20.668672880834","31.6455538424262","28.36828185301","17.2256455850372","14.0367534232026","21.7803420416714","20.0151045621994","31.4746546287645","33.9461138073148","22.0701466507122","29.1245339131148","28.7942469105637","25.0911019653967","27.5513546645408","27.2057107955721","23.5997561272711","22.5841870858005","22.6208618663434","27.546155698695","42.0493535368427","35.4621963799857","36.9653576952413","35.4196448425696","36.4246837960598","36.0995670652526","50.779601634474","92.1201185577175","50.8282610231898","71.2129196943842","60.6469691574467","63.3513199417461","63.2733253820435","59.5927372766006","51.8723536315624","56.2972956932686","66.6316758505446","61.4485474428239","52.5102434513655","61.7286467531245","53.9010202347853","42.6125544786096","43.1047786847705","43.3530708761707",
"Chad","TCD","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38000000","49000000","53000000","66000000","53000000","56000000","56000000","80000000","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
