"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Timor-Leste","TLS","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.001706","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42119","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9000","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0080025","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","",
"Timor-Leste","TLS","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","67","75","74","69","61","61","87","","78","66","64","61","54","57","54","",
"Timor-Leste","TLS","Tuberculosis treatment success rate (% of new cases)","SH.TBS.CURE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","81","80","82","79","84","85","","28","91","89","84","84","87","89","","",
"Timor-Leste","TLS","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","","","7.5","","7.6","","","","1.9","","","","","",
"Timor-Leste","TLS","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","7.59999990463257","","8.30000019073486","","","","2.40000009536743","","","","","",
"Timor-Leste","TLS","Prevalence of severe wasting, weight for height, female (% of children under 5)","SH.SVR.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19999980926514","","","","","7.30000019073486","","6.90000009536743","","","","1.5","","","","","",
"Timor-Leste","TLS","Prevalence of wasting, weight for height (% of children under 5)","SH.STA.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","14.3","","","","24.5","","18.9","","","","11","","","","","",
"Timor-Leste","TLS","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8999996185303","","","","","29.2000007629395","","20.3999996185303","","","","12.8999996185303","","","","","",
"Timor-Leste","TLS","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3999996185303","","","","","19.6000003814697","","17.3999996185303","","","","9","","","","","",
"Timor-Leste","TLS","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","SH.STA.WASH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","","",
"Timor-Leste","TLS","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","","","12.7","","",
"Timor-Leste","TLS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","","","","6.2","","","","","5.3","","","","","4.6","4.6","","",
"Timor-Leste","TLS","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","","","","","8.3","","","","","7.3","","","","","6.2","6.2","","",
"Timor-Leste","TLS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","","","","4","","","","","3.3","","","","","2.9","2.9","","",
"Timor-Leste","TLS","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7","54.8","","","","53.9","","57.7","","","","50.2","","","","","",
"Timor-Leste","TLS","Prevalence of stunting, height for age, male (% of children under 5)","SH.STA.STNT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4000015258789","","","","","56.2999992370605","","59.7999992370605","","","","53.0999984741211","","","","","",
"Timor-Leste","TLS","Prevalence of stunting, height for age, female (% of children under 5)","SH.STA.STNT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9000015258789","","","","","51.5","","55.5999984741211","","","","47.2000007629395","","","","","",
"Timor-Leste","TLS","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","People using safely managed sanitation services, rural (% of rural population)","SH.STA.SMSS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","SH.STA.POIS.P5.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","","","1.1","","","","","0.8","","","","","0.5","0.5","","",
"Timor-Leste","TLS","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","SH.STA.POIS.P5.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","","0.7","","","","","0.5","","","","","0.4","0.4","","",
"Timor-Leste","TLS","Mortality rate attributed to unintentional poisoning (per 100,000 population)","SH.STA.POIS.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","0.9","","","","","0.6","","","","","0.4","0.4","","",
"Timor-Leste","TLS","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","","","5.8","","","","1.5","","","","","",
"Timor-Leste","TLS","Prevalence of overweight, weight for height, male (% of children under 5)","SH.STA.OWGH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","6","","","","1.5","","","","","",
"Timor-Leste","TLS","Prevalence of overweight, weight for height, female (% of children under 5)","SH.STA.OWGH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","","5.69999980926514","","","","1.39999997615814","","","","","",
"Timor-Leste","TLS","Diarrhea treatment (% of children under 5 who received ORS packet)","SH.STA.ORTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.6","","","","","","","71","","","","","","69.9","","",
"Timor-Leste","TLS","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","SH.STA.ORCF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7","","","","","","57.4","","",
"Timor-Leste","TLS","People practicing open defecation (% of population)","SH.STA.ODFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7621990906015","40.9526828640454","39.1441755296728","37.2680540739731","35.3904279539993","33.5131511328475","31.6365873195058","29.7610898010316","27.8861604419353","26.0127105908684","24.1435461886964","23.9638911487389","23.7861619667902","23.6103586428503","","","",
"Timor-Leste","TLS","People practicing open defecation, urban (% of urban population)","SH.STA.ODFC.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1675693040311","18.662199181812","17.1568290595933","15.6514589373746","14.146088815156","12.6407186929368","11.1353485707182","9.62997844849951","8.12460832628085","6.61923820406219","5.11386808184307","5.11386808184307","5.11386808184307","5.11386808184307","","","",
"Timor-Leste","TLS","People practicing open defecation, rural (% of rural population)","SH.STA.ODFC.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2853093855688","48.5193909819559","46.7534725783435","44.987554174731","43.2216357711181","41.4557173675057","39.6897989638928","37.9238805602804","36.1579621566675","34.3920437530551","32.6261253494427","32.6261253494427","32.6261253494427","32.6261253494427","","","",
"Timor-Leste","TLS","Maternal mortality ratio (national estimate, per 100,000 live births)","SH.STA.MMRT.NE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","557","","","","","","","","",
"Timor-Leste","TLS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1050","1030","1000","958","897","857","819","769","724","694","646","601","567","539","506","466","425","387","350","317","289","267","248","231","215","","","",
"Timor-Leste","TLS","Prevalence of underweight, weight for age (% of children under 5)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.6","41.5","","","","48.6","","45.3","","","","37.7","","","","","",
"Timor-Leste","TLS","Prevalence of underweight, weight for age, male (% of children under 5)","SH.STA.MALN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","52.5","","46.7999992370605","","","","39","","","","","",
"Timor-Leste","TLS","Prevalence of underweight, weight for age, female (% of children under 5)","SH.STA.MALN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0999984741211","","","","","44.5","","43.7000007629395","","","","36.2999992370605","","","","","",
"Timor-Leste","TLS","People with basic handwashing facilities including soap and water (% of population)","SH.STA.HYGN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","People with basic handwashing facilities including soap and water, urban (% of urban population)","SH.STA.HYGN.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","People with basic handwashing facilities including soap and water, rural (% of rural population)","SH.STA.HYGN.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Female genital mutilation prevalence (%)","SH.STA.FGMS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Diabetes prevalence (% of population ages 20 to 79)","SH.STA.DIAB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.86","",
"Timor-Leste","TLS","Low-birthweight babies (% of births)","SH.STA.BRTW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","12","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Births attended by skilled health staff (% of total)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8","","","","","24","18.4","","","","","","","29.3","","","","","","56.7","","",
"Timor-Leste","TLS","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","30.7","","","","","","","50.77824","","","62.3","","","50.172226","","",
"Timor-Leste","TLS","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.972422766696","34.593778133292","35.2245356487796","35.9366201619848","36.6679343325418","37.4170577778507","38.1839994351894","38.968721447986","39.7722354063793","40.5937609282947","41.429655576993","42.277811521775","43.138360206912","44.0110559646928","","","",
"Timor-Leste","TLS","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.3650676577288","55.7608505358631","57.1566334139974","58.5524162921317","59.948199170266","61.3439820484","62.7397649265343","64.1355478046686","65.5313306828029","66.9271135609373","68.3228964390716","69.7186793172059","71.1144621953402","72.5102450734745","","","",
"Timor-Leste","TLS","People using at least basic sanitation services, rural (% of rural population)","SH.STA.BASS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1824855926633","27.408422226969","27.6343588612746","27.8602954955802","28.0862321298858","28.3121687641915","28.538105398497","28.7640420328026","28.9899786671083","29.2159153014139","29.4418519357195","29.6677885700251","29.8937252043308","30.1196618386363","","","",
"Timor-Leste","TLS","ARI treatment (% of children under 5 taken to a health provider)","SH.STA.ARIC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","23.8","","","","","","","70.9","","","","","","70.9","","",
"Timor-Leste","TLS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9","","","","","42.5","60.5","","","","","","","84.4","","","","","","84.4","","",
"Timor-Leste","TLS","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","SH.STA.AIRP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.8","","",
"Timor-Leste","TLS","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","",
"Timor-Leste","TLS","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","SH.STA.AIRP.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","","",
"Timor-Leste","TLS","Number of surgical procedures (per 100,000 population)","SH.SGR.PROC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433","","",
"Timor-Leste","TLS","Risk of impoverishing expenditure for surgical care (% of people at risk)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9","59","58.6","60.1","65.4","70.3","61.9","61.7","62","60.6","58","57.8","56","58.3","55.4","",
"Timor-Leste","TLS","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","61.5","59.3","43","32.8","19.3","7.1","14.2","10","8.4","7.2","8.4","8.8","10.1","9.8","",
"Timor-Leste","TLS","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1243793200.79841","1538476831.12512","1515022467.7996","1252152698.14923","1095861653.96163","960866764.774744","1010134820.79194","1226962750.63085","1281121824.20369","1497012058.08844","1539401683.33419","1476477364.89716","1480551446.45115","1392051456.41044","1511141980.46658","1530727045.29676","1581987739.63424","1545641288.83073","",
"Timor-Leste","TLS","Final consumption expenditure (current LCU)","NE.CON.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810508339.362394","1043461119.45725","1112036288.411","913543366.370857","772599418.075353","668456699.771496","763632715.521851","1031869702.66917","1201261964.31183","1384740481.24265","1539401683.33419","1626462675.84761","1777230332.48216","1768046935.03831","1888228430.98765","1868619481.08824","1917618552.00087","1898632716.26089","",
"Timor-Leste","TLS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810508339.362394","1043461119.45725","1112036288.411","913543366.370857","772599418.075353","668456699.771496","763632715.521851","1031869702.66917","1201261964.31183","1384740481.24265","1539401683.33419","1626462675.84761","1777230332.48216","1768046935.03831","1888228430.98765","1868619481.08824","1917618552.00087","1898632716.26089","",
"Timor-Leste","TLS","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0867550076795","75.8088558950033","81.9478140516472","75.8319429994754","39.8193963996812","23.4392371223955","14.6599175302665","15.9974993526085","10.8742519779257","16.9408261490494","15.7439528299413","12.186859026183","12.0107834214798","15.9284672042443","23.2006760218955","30.1119912732685","40.1583585477081","41.1694143186887","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)","NE.CON.PRVT.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1125077266.71638","1274931355.84844","1254072986.15329","1168929445.70882","1193643360.34323","1175232347.26667","1037092276.53727","1097883573.80453","1035943877.48242","1171858159.23187","1216294759.44976","1231424419.28726","1270988853.89966","1336412388.49401","1411143616.6154","1397662425.14988","1507759343.93653","1521954677.43962","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure, PPP (current international $)","NE.CON.PRVT.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017215171.06283","955715294.472669","990660337.940903","1002906506.78497","912919656.566259","1006954165.42614","993312884.358562","1116042148.72829","1234054152.10563","1231424419.28726","1301314913.6416","1334020669.68853","1405376374.39961","1389703486.08252","1539861747.74206","1592908008.89083","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure per capita growth (annual %)","NE.CON.PRVT.PC.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2009661965706","-3.92591794523804","-9.19209058197144","-0.489859670804876","-3.84195989583958","-13.6032640510456","3.82290220845722","-7.3438722066854","11.1353927314023","1.96523936016048","-0.541302587859519","1.40525262952933","3.29658209238769","3.70044172294821","-2.77436888898711","5.84351840989024","-1.00490419718111","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","658.525291202313","732.286486465752","703.53751988304","638.867713777236","635.738158497648","611.313353405619","528.154783762551","548.345624655082","508.075822729462","564.652060963691","575.748825513707","572.63228222163","580.679212425083","599.821779356107","622.01783474273","604.760765451677","640.100072116639","633.667679625779","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure (constant LCU)","NE.CON.PRVT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","749629663.184999","849476201.4506","835578442.503965","778848006.796163","795314683.398246","783047577.89379","691005993.056275","731510730.858009","690240824.278847","780799384.356442","810407122.989045","820487890.011556","846849345.060022","890440504.221449","940233302.479241","931250896.277819","1004607561.27259","1014065794.39801","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure (annual % growth)","NE.CON.PRVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3194486783483","-1.63603864627433","-6.78936085734796","2.11423492881744","-1.54242160499798","-11.7542774457058","5.86170571728101","-5.64173631885829","13.1198498976367","3.79197771230398","1.24391392135472","3.21289995493956","5.14745148186158","5.59192871637481","-0.955338018525481","7.87721818985358","0.94148536105368","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure (constant 2010 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","582377377.679425","659946833.613747","649149848.370962","605076722.66013","617869466.076755","608339313.941301","536833423.169337","568301018.62753","536238973.659179","606592722.095891","629594582.922225","637426197.58729","657906063.602345","691771459.022501","730454825.891265","723476513.231372","780466336.730952","787814313.039226","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure (current LCU)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321323083.779476","392468868.398086","418488671.231105","412006783.259649","429401909.794608","425119348.901449","389637542.774868","460894391.891541","477528433.033396","542049971.451052","629594582.922225","691244581.819223","800118104.338224","897994687.238251","937687096.271387","931250896.277819","1005377397.98644","1023994259.89224","",
"Timor-Leste","TLS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321323083.779476","392468868.398086","418488671.231105","412006783.259649","429401909.794608","425119348.901449","389637542.774868","460894391.891541","477528433.033396","542049971.451052","629594582.922225","691244581.819223","800118104.338224","897994687.238251","937687096.271387","931250896.277819","1005377397.98644","1023994259.89224","",
"Timor-Leste","TLS","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.267956561425","125.744948766867","135.809437807301","92.3103578095038","31.8254700640492","13.4165661537575","14.0713811870959","19.8183734174617","16.4808213282773","26.336821650626","22.7510853202514","16.4881886533763","14.6676887912981","15.432829271723","23.5187213729019","30.3098066895463","36.4381648306965","35.1646043339036","",
"Timor-Leste","TLS","General government final consumption expenditure (constant LCU)","NE.CON.GOVT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","768718294.858287","1028603815.01537","1013869897.37812","749704723.008821","542447336.463659","389920797.645561","542105863.089389","766291625.530237","873675672.881393","1046662930.20334","1068801897.4482","981906905.722738","960518844.486386","808892218.433111","904477971.776076","937368647.594954","926587956.263049","872760161.281017","",
"Timor-Leste","TLS","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8076408347993","-1.43241911240915","-26.0551353829947","-27.6452021955214","-28.118220620725","39.0297379269738","41.3546094416399","14.0134700384924","19.7999398050575","2.11519550430232","-8.13013075041565","-2.17821680565626","-15.7859085143044","11.8168714155914","3.63642640785295","-1.15010154858129","-5.80924828756903","",
"Timor-Leste","TLS","General government final consumption expenditure (constant 2010 US$)","NE.CON.GOVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","654363885.906692","875588878.206662","863046775.769101","638178769.92389","461752958.60954","331916242.984984","461462282.759081","652298207.514575","743707821.386253","890961522.346236","909807100.411967","835838593.571909","817632216.858565","688561543.121792","769927975.289706","797925839.504589","788748882.067916","742928501.143166","",
"Timor-Leste","TLS","General government final consumption expenditure (current LCU)","NE.CON.GOVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489185255.582918","650992251.05916","693547617.17989","501536583.111209","343197508.280745","243337350.870048","373995172.746983","570975310.777627","723733531.278434","842690509.791598","909807100.411967","935218094.028387","977112228.143939","870052247.800055","950541334.716262","937368584.810418","912241154.014435","874638456.368645","",
