"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Tuvalu","TUV","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6607695709863","42.7114696831074","51.319161766923","72.6837534420674","73.4833120676919","54.417103670835","48.6426817740615","62.9876352756936","78.3844472020327","58.4490211514257","36.3846546537678","30.3109640905849","71.1928295902472","43.8811120399851","51.0798000218555","59.5262655472528","56.7614663817196","59.1913075780089","85.834727142778","51.6580141627097","69.1286928598605","69.7435098904642","55.7447122718053","55.9887805396905","58.994136943017","104.247864177083","76.6127953689786","98.4723076754717","82.1832019780702",
"Tuvalu","TUV","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7579328323904","25.2882730587909","21.7874968917678","21.2669548144669","14.7970320241219","16.6517206042461","17.5795791332104","23.1251277659945","19.1161065273023","","","","","",
"Tuvalu","TUV","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4600000","5430000","6890000","8400000","7500000","8700000","11450000","11500000","7550000","","","","","",
"Tuvalu","TUV","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","4960000","5890000","7200000","6300000","7400000","9650000","9500000","6050000","","","","","",
"Tuvalu","TUV","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200000","1200000","1500000","1900000","1500000","2400000","2400000","2700000","2400000","","","","","",
"Tuvalu","TUV","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600000","470000","1000000","1200000","1200000","1300000","1800000","2000000","1500000","","","","","",
"Tuvalu","TUV","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6791502961736","39.7981546907557","45.9223108436858","46.789377954922","27.2073083218978","17.0691132475308","16.1629058010789","10.7524110880919","11.6686168386915","","","","","",
"Tuvalu","TUV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200000","1200000","1500000","1900000","1500000","2400000","2400000","2700000","2400000","","","","","",
"Tuvalu","TUV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","2200","2900","2800","2700","2600","2300","2200","2000","2400","","","","2100","","","","","","","",
"Tuvalu","TUV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","1000","1000","1000","1100","1100","1100","1300","1400","1300","1100","1100","1100","1700","1600","1700","1200","1100","1300","1400","2400","2500","2500","",
"Tuvalu","TUV","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","","","","","","","","","","","",
"Tuvalu","TUV","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","15.895","16.444","17.008","17.587","18.183","18.793","19.419","20.061","20.719","21.392","22.081","22.786","23.507","24.242","24.994","25.761","26.545","27.341","28.153","28.98","29.822","30.675","31.544","32.425","33.32","34.251","35.496","36.762","38.047","39.346","40.661","41.991","42.751","43.156","43.563","43.97","44.379","44.787","45.197","45.607","46.018","46.429","46.841","47.656","48.678","49.699","50.721","51.743","52.765","53.782","54.796","55.807","56.815","57.814","58.786","59.73","60.645","61.53","62.387",
"Tuvalu","TUV","Urban population","SP.URB.TOTL","846","877","908","940","974","1012","1056","1106","1160","1213","1266","1314","1361","1411","1476","1561","1678","1818","1975","2132","2278","2401","2510","2607","2704","2815","2959","3119","3286","3454","3624","3790","3895","3968","4030","4088","4137","4175","4218","4262","4323","4403","4495","4635","4804","4970","5133","5289","5442","5606","5770","5934","6101","6277","6450","6629","6807","6996","7179",
"Tuvalu","TUV","Urban population growth (annual %)","SP.URB.GROW","3.97882500584126","3.59876327659598","3.47373862291102","3.46354966627563","3.55314283784856","3.82725462048757","4.25596144187959","4.62617178160733","4.76701020181302","4.46766248436398","4.27656937600713","3.72135963404343","3.51438036069102","3.60789492013479","4.50370533076039","5.59909153550142","7.22759665117194","8.01343877102726","8.28314025977981","7.64921079505128","6.62373587213923","5.25874522141257","4.43974359045763","3.79173818076723","3.65320232293531","4.0230103410936","4.98891118264188","5.26610642075936","5.21585819894102","4.98619601094105","4.80454084562461","4.4787630913602","2.73276602283765","1.85685100999148","1.55041865359653","1.42894769428116","1.19150345778712","0.914347082354437","1.0246723753764","1.03774516198426","1.42110720090692","1.83365210881221","2.06795411499669","3.06705310942349","3.58127051999186","3.39709358908003","3.22704434696287","2.99389085056768","2.85174482772116","2.96908123815421","2.88346277774117","2.80264413486219","2.77541703010853","2.84394671656794","2.71879714722865","2.73738324515734","2.64975312065599","2.73870626905413","2.58215404379904",
"Tuvalu","TUV","Rural population (% of total population)","SP.RUR.TOTL.ZS","84.105","83.556","82.992","82.413","81.817","81.207","80.581","79.939","79.281","78.608","77.919","77.214","76.493","75.758","75.006","74.239","73.455","72.659","71.847","71.02","70.178","69.325","68.456","67.575","66.68","65.749","64.504","63.238","61.953","60.654","59.339","58.009","57.249","56.844","56.437","56.03","55.621","55.213","54.803","54.393","53.982","53.571","53.159","52.344","51.322","50.301","49.279","48.257","47.235","46.218","45.204","44.193","43.185","42.186","41.214","40.27","39.355","38.47","37.613",
