"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Zimbabwe","ZWE","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.15","11.88","11.88","11.88","11.88","11.88","10.66","10.66","","","","8.8","","","8.8","8.8","8.8","","","8.83","8.83","","",
"Zimbabwe","ZWE","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","28.18776625","31.59974163","34.54091105","32.43281194","33.1274578","30.55977054","31.27896391","30.77731769","31.10043665","43.29702756","50.55353247","61.48431544","79.488826","67.3843864","83.65915415","95.47404621","92.73709448","111.1043853","129.2899681","114.0674254","100","92.33875573","93.82034333","84.0029415","95.92847595","89.79271802","76.71969545","74.65652301","75.13209212","82.63970357","101.1044037","101.6314913","103.6243067","103.2921502","102.8506582","111.6894408","106.7999803","109.8981925","",
"Zimbabwe","ZWE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","40.361241659943","41.6724950407907","40.0858409651525","37.9470082104389","60.3054049746208","63.8994299225322","43.1441557028109","41.016405130415","40.281159791914","36.9565471097577","39.6984130665522","39.4727849605752","37.0836575196881","39.1012915634038","43.3935199110714","42.6417702172719","36.9120585257592","36.362535718401","36.1476197091162","38.3006383401094","42.8515717678034","38.7324331315061","34.1229757619023","30.1388434695373","35.4684405735724","38.0149268634849","39.1474181272522","39.0434062844249","37.6593897200564","38.1834031155943","40.6770783365732","41.5090851838522","54.0326597212383","51.5858670142248","59.8635111944766","67.1891171292354","60.9015634082549","66.0408314058821","75.1643846028476","58.5154904413933","56.6221824784061","43.113975808397","59.3335057678853","59.0125853591731","70.46646561016","72.9772884947899","78.9875413685767","93.5382969692023","116.629226043021","53.4772453700205","58.1232387388073","56.1058340402052","48.3907252963989","42.9887978746028","41.3736087341832","36.3069489246085","34.1579150047613","32.3499615457682","27.786631171385",
"Zimbabwe","ZWE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.08440643427929","3.15203979366123","3.41871071785854","4.61474982263407","5.12730946994534","5.50873065670555","7.42284186643017","6.31739426004092","5.1528959469222","",
"Zimbabwe","ZWE","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106000000","118000000","120000000","131000000","","","","","","","","","","","167000000","203000000","317000000","387000000","441000000","451000000","557000000","406000000","338000000","",
"Zimbabwe","ZWE","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110000000","131000000","228000000","272000000","337000000","342000000","476000000","327000000","315000000","",
"Zimbabwe","ZWE","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118000000","124000000","152000000","161000000","170000000","172000000","175000000","177000000","149000000","",
"Zimbabwe","ZWE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57000000","72000000","89000000","115000000","104000000","109000000","81000000","79000000","23000000","",
"Zimbabwe","ZWE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000000","11000000","12000000","13000000","13000000","14000000","16000000","17000000","9000000","",
"Zimbabwe","ZWE","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85202649292603","3.78230252732366","3.34176838790434","4.01233349433312","4.35954331564552","4.59785793228922","4.81816883158112","4.77870349903376","3.35101705575648","",
"Zimbabwe","ZWE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145000000","232000000","205000000","158000000","202000000","125000000","81000000","76000000","61000000","194000000","99000000","338000000","365000000","294000000","129000000","135000000","164000000","174000000","183000000","186000000","191000000","194000000","158000000","",
"Zimbabwe","ZWE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256000","69000","123000","213000","331000","","","","386000","498000","474000","541000","547000","593000","631000","650000","693000","720000","2946000","3182000","3393000","3192000","2768000","",
"Zimbabwe","ZWE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416000","1597000","1336000","2090000","2250000","1967000","2217000","2041000","2256000","1854000","1559000","2287000","2506000","1956000","2017000","2239000","2423000","1794000","1833000","1880000","2057000","2168000","2423000","",
"Zimbabwe","ZWE","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","14.1","","","","","","","","","","19.1","","","","","16.7","","","","","","","15.5","","","","","14.6","","","10.4","10.4","","","",
"Zimbabwe","ZWE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","12.608","12.821","13.082","13.578","14.092","14.62","15.165","15.727","16.306","16.88","17.362","17.855","18.36","18.874","19.4","19.873","20.356","20.846","21.345","21.853","22.371","22.895","23.429","24.069","24.736","25.414","26.105","26.809","27.524","28.25","28.988","29.738","30.499","30.94","31.335","31.732","32.132","32.534","32.939","33.347","33.758","34.17","34.585","34.479","34.294","34.11","33.926","33.743","33.56","33.378","33.196","33.015","32.834","32.654","32.504","32.385","32.296","32.237","32.209",
"Zimbabwe","ZWE","Urban population","SP.URB.TOTL","476164","500664","528408","567387","609178","653686","701131","751723","805827","862794","918329","977915","1041730","1109362","1180504","1250782","1323663","1399356","1479137","1564680","1657383","1757327","1864536","1986835","2117958","2256125","2401699","2554148","2710873","2868463","3024150","3176314","3324544","3432102","3528867","3620848","3708424","3791266","3869368","3942522","4010949","4074401","4134391","4131351","4122109","4119362","4123872","4135516","4154577","4181251","4215136","4257058","4306222","4359425","4416215","4473868","4531255","4589499","4650663",
"Zimbabwe","ZWE","Urban population growth (annual %)","SP.URB.GROW","4.97730816979994","5.01728847030725","5.39334951688861","7.11728980070367","7.10688968479044","7.05166064034889","7.00676316296381","6.96731595610436","6.95011742415204","6.83068811182876","6.23797538265865","6.2867039977818","6.32153174618419","6.29022826311143","6.21563906293136","5.78274897756683","5.66339376859593","5.56092373946908","5.5446678805509","5.62225206469789","5.75585221098756","5.85540522291107","5.92183239956113","6.35306917874165","6.390949659101","6.31963229480069","6.25276636634815","6.15423006820183","5.9552018989216","5.65056230120502","5.28537140126516","4.90913447349667","4.56111168490733","3.18403796180643","2.78039547889002","2.5731396295411","2.38987359754054","2.20930117322177","2.03911859562984","1.87294338430567","1.72072516183355","1.56958703497166","1.46162962829982","-0.0735566180765852","-0.223954653268415","-0.0666628591359317","0.10942308443508","0.281958123633042","0.459850898876524","0.639986598652899","0.807137259366407","0.989645472051017","1.14826422101473","1.22792143483452","1.2942826453874","1.29703644491171","1.27455842355544","1.27719247198111","1.32389222924462",
